INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT
16	3	武士：大地之舞	STD_IMPACT_003	0	118	-1	16	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	80	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
18	0	升级特效	StdImpact000	0	18	-1	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																						0	0
19	3	先知：圣光弹	STD_IMPACT_003	0	119	-1	19	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	30	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
20	10	先知：圣光弹dot	StdImpact010	1	1	-1	20	-1	0	1	0	0	0	0	0	0	0	10000	2000	0	0	0	0	0	子效果1的DataIndex	21	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
21	1	先知：圣光弹dot伤害	STD_IMPACT_001	0	6	-1	21	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	伤害数值	8																																			HPDOT1减血	0	0
22	10	先知：诅咒dot	StdImpact010	1	6	-1	22	-1	0	1	0	0	0	0	0	0	0	10000	2000	0	0	0	0	0	子效果1的DataIndex	23	子效果2的DataIndex	25					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
23	1	先知：圣光弹dot伤害	STD_IMPACT_001	0	6	-1	23	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	伤害数值	12																																			HPDOT1减血	0	0
24	4	先知：加血	StdImpact004	0	121	-1	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	1000	MP修改量	0					Rage修改量	0	StrikePoint修改量	0																										0	0
25	14	先知：诅咒减速	STD_IMPACT_014	1	2	23	25	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1					CanMove	-1	Unbreakable	-1	移动速度修正%	-60	隐身级别修正	0	反隐级别修正	-1																			无相截指-迟缓	0	0
100	0	捉宠特效	StdImpact000	0	-1	-1	100	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																					捉宠特效	0	0
101	3	演示技能	STD_IMPACT_011	1	41	41	101	1	0	1	1	0	0	0	0	1	0	60000	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	10	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
102	10	不知道dot	StdImpact010	1	6	-1	102	-1	0	1	0	0	0	0	0	0	0	20000	2000	0	0	0	0	0	子效果1的DataIndex	23	子效果2的DataIndex	-1					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
103	4	药品。立即恢复生命350点	StdImpact004	0	10	-1	103	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	9000	增加MP	0					Rage修改量	0	StrikePoint修改量	0																										0	0
104	10	不知道dot	StdImpact010	1	6	-1	104	-1	0	1	0	0	0	0	0	0	0	20000	2000	0	0	0	0	0	子效果1的DataIndex	-1	子效果2的DataIndex	25					子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1					韦陀杵HPDOT1	0	0
311	3	武士普通攻击的伤害效果	STD_IMPACT_003	0	0	-1	311	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
316	65	武士普通攻击的怒气效果	STD_IMPACT_003	1	0	-1	316	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	概率	100	事件ID	10					impactID	317																												0	0
317	4	怒气增加100%（需攻）	STD_IMPACT_004	0	0	-1	317	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	生命值的修正比例%		魔法值的修正比例%	0					怒气值的修正比例%	5	连击点数的修正比例%																												
321	3	剑侠普通攻击的伤害效果	STD_IMPACT_003	0	0	-1	321	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
331	3	骑射普通攻击的伤害效果	STD_IMPACT_003	0	0	-1	331	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
341	3	火枪普通攻击的伤害效果	STD_IMPACT_003	0	0	-1	341	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
351	3	先知普通攻击的伤害效果	STD_IMPACT_003	0	0	-1	351	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
361	3	萨满普通攻击的伤害效果	STD_IMPACT_003	0	0	-1	361	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
########	虚弱状态	########																																																													
1000	16	百分比改属性	StdImpact016	1	104	1000	1000	-1	0	0	0	0	0	0	0	0	1	120000	0	0	0	0	0	0	力道百分比修正	-30	体质百分比修正	-30	内力百分比修正	-30	身法百分比修正	-30																															
1001	83	修改玩家的属性点数	StdImpact083	1	104	1001	1001	-1	0	0	0	0	0	0	0	0	1	120000	0	0	0	0	0	0	力道百分比修正	-30	体质百分比修正	-30	内力百分比修正	-30	身法百分比修正	-30																															
1002	83	修改玩家的属性点数	StdImpact083	1	102	1002	1002	-1	0	0	0	0	0	0	0	0	1	120000	0	0	0	0	0	0	力道百分比修正	-30	体质百分比修正	-30	内力百分比修正	-30	身法百分比修正	-30																															
#							#			1																																																					
7000	18	冲锋瞬移驱散		0	7000	47	7000	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	20000	驱散数量	5	驱散效果ID	11									驱散效果ID	13	驱散效果ID	3	驱散效果ID	-1	驱散效果ID	-1	驱散效果ID	-1	驱散效果ID	-1													
#	称号用buff						#			1																																																					
7001	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7001	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7002	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7002	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7003	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7003	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7004	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7004	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7005	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7005	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7006	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7006	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7007	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7007	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7008	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7008	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7009	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7009	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7010	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7010	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7011	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7011	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7012	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7012	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7013	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7013	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7014	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7014	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7015	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7015	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7016	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7016	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7017	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7017	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7018	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7018	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7019	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7019	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7020	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7020	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
#	功能用buff						#			1																																																					
7501	14	铁人三项1	STD_IMPACT_0014	1	7501	86	7501	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1									移动速度修正（0为无效）	-30	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）		骑乘ID(-1为无效)	-1																	
7502	14	铁人三项2	STD_IMPACT_0014	1	7502	86	7502	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1									移动速度修正（0为无效）	-55	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）		骑乘ID(-1为无效)	-1																	
7503	14	铁人三项3	STD_IMPACT_0014	1	7503	86	7503	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1									移动速度修正（0为无效）	60	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）		骑乘ID(-1为无效)	-1																	
7504	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7504	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7505	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7505	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7506	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7506	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7507	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7507	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7508	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7508	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7509	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7509	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7510	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7510	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7511	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7511	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7512	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7512	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7513	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7513	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7514	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7514	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7515	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7515	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7516	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7516	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7517	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7517	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7518	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7518	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7519	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7519	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
7520	16	帮会BUFF	STD_IMPACT_003	1	1321	56	7520	1	0	1	1	0	0	0	0	0	0	3600000	0	0	0	0	0	0	力量修正修比例%	50	耐力修正比例%		智力修正比例%																																		
							0			1																																																					
							0			1																																																					
							0			1																																																					
							0			1																																																					
							0			1																																																					
							0			1																																																					
							0			1																																																					
							0			1																																																					
							0			1																																																					
#							#			1																																																					
#	马技能						#			1																																																					
#	移动类						#			1																																																					
							0			1																																																					
							0			1																																																					
#	#	#	#	#			#			1																																																				0	0
5900	0	任务特效	StdImpact000	0	24	-1	5900	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0																0	0
5901	60		StdImpact60	1			5901			1																																																					
####	道具技能，严禁skw以外的人修改						####			1																																																					
8001	4	药品。立即恢复生命500点	StdImpact004	0	10	-1	8001	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	500	增加MP	0	Rage修改量	0																																0	0
8002	4	药品。立即恢复生命800点	StdImpact004	0	10	-1	8002	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	800	增加MP	0	Rage修改量	0																																0	0
8003	4	药品。立即恢复生命1200点	StdImpact004	0	10	-1	8003	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	1200	增加MP	0	Rage修改量	0																																0	0
8004	4	药品。立即恢复生命1600点	StdImpact004	0	10	-1	8004	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	1600	增加MP	0	Rage修改量	0																																0	0
8005	4	药品。立即恢复生命2000点	StdImpact004	0	10	-1	8005	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	2000	增加MP	0	Rage修改量	0																																0	0
8006	4	药品。立即恢复生命2500点	StdImpact004	0	10	-1	8006	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	2500	增加MP	0	Rage修改量	0																																0	0
8007	4	药品。立即恢复生命3000点	StdImpact004	0	10	-1	8007	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	3000	增加MP	0	Rage修改量	0																																0	0
8008	4	药品。立即恢复生命3500点	StdImpact004	0	10	-1	8008	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	3500	增加MP	0	Rage修改量	0																																0	0
8009	4	药品。立即恢复生命4500点	StdImpact004	0	10	-1	8009	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	4500	增加MP	0	Rage修改量	0																																0	0
8010	4	药品。立即恢复生命5500点	StdImpact004	0	10	-1	8010	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	5500	增加MP	0	Rage修改量	0																																0	0
8011	4	药品。立即恢复生命6500点	StdImpact004	0	10	-1	8011	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	6500	增加MP	0	Rage修改量	0																																0	0
8012	4	药品。立即恢复生命7500点	StdImpact004	0	10	-1	8012	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	7500	增加MP	0	Rage修改量	0																																0	0
8051	4	药品。立即恢复生命5点	StdImpact004	0	10	-1	8051	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	20	增加MP	0	Rage修改量	0																																0	0
8052	4	药品。立即恢复生命25点	StdImpact004	0	10	-1	8052	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	30	增加MP	0	Rage修改量	0																																0	0
8053	4	药品。立即恢复生命50点	StdImpact004	0	10	-1	8053	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	50	增加MP	0	Rage修改量	0																																0	0
8054	4	药品。立即恢复生命75点	StdImpact004	0	10	-1	8054	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	75	增加MP	0	Rage修改量	0																																0	0
8055	4	药品。立即恢复生命100点	StdImpact004	0	10	-1	8055	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	增加HP	100	增加MP	0	Rage修改量	0																																0	0
