INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
13010020	13	1	20	WXSJ_quest_shizijia_1_3	一袋油桐籽	可以用来榨油	1	0	0	4	5	-1	-1	-1	-1	5	4	-1	任务道具
13010021	13	1	21	xinjianrenwu	黄药师的信	充满了对徒儿的希望	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010022	13	1	22	WXSJ_quest_shizijia_1_3	药箱	装满了药材	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010023	13	1	23	WXSJ_quest_shizijia_1_3	马奶酒	草原上的好酒。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010024	13	1	24	WXSJ_quest_shizijia_1_3	蔑里乞猎手头颅	或许它能平息别勒古台的怒火。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010025	13	1	25	WXSJ_quest_shizijia_1_3	巴诃儿的法杖	萨满教主的身份象征。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010026	13	1	26	WXSJ_quest_shizijia_1_3	玉玺	花剌子模国王的象征。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010027	13	1	27	WXSJ_quest_shizijia_1_3	圣水	它可以帮他们克制住自己的欲念，让仁爱散播在任何一个角落。	1	0	0	6	1	400004	58	0	1	1	4	-1	任务道具
13010028	13	1	28	WXSJ_quest_shizijia_1_3	装水的葫芦	装水的器皿	1	0	0	4	12	-1	-1	-1	-1	12	4	-1	任务道具
13010029	13	1	29	WXSJ_quest_shizijia_1_3	地牢的钥匙	可以打开牢笼！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010030	13	1	30	WXSJ_quest_shizijia_1_3	伊拉克秘药	伊拉克士兵用来治疗伤口的秘药	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010031	13	1	31	WXSJ_quest_shizijia_1_3	乃蛮将领的头	狰狞的面孔！	1	0	0	4	5	-1	-1	-1	-1	5	4	-1	任务道具
13010032	13	1	32	WXSJ_quest_shizijia_1_3	西辽密函	一封密封的信。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010033	13	1	33	WXSJ_quest_shizijia_1_3	达拉皇后的信物	一块做工精美的玉佩	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010034	13	1	34	WXSJ_quest_shizijia_1_3	西辽骑兵的头	哲别需要它们来威慑敌人。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010035	13	1	35	WXSJ_quest_shizijia_1_3	完整的告示	揭露了屈出律的嘴脸！	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010036	13	1	36	WXSJ_quest_shizijia_1_3	枷锁的钥匙	可以用来打开一个枷锁。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010037	13	1	37	WXSJ_quest_shizijia_1_3	通行证	塔塔儿巡逻兵身上找到的。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010038	13	1	38	WXSJ_quest_shizijia_1_3	蔑儿真的人头	王汗要用它来祭祖。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010039	13	1	39	WXSJ_quest_shizijia_1_3	克烈人的头	很容易被砍下。	1	0	0	4	20	-1	-1	-1	-1	20	4	-1	任务道具
13010040	13	1	40	WXSJ_quest_shizijia_1_3	白鹿之杖	草原王者的象征。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010041	13	1	41	WXSJ_quest_shizijia_1_3	豁儿赤的烟火	金兵进攻的信号。	1	0	0	6	1	400005	58	0	1	1	4	-1	任务道具
13010042	13	1	42	WXSJ_quest_shizijia_1_3	乌鲁的头	这个人背叛了大汗！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010043	13	1	43	WXSJ_quest_shizijia_1_3	匈牙利平民的头	我们的投石机会送他们回故乡的。	1	0	0	4	30	-1	-1	-1	-1	30	4	-1	任务道具
13010044	13	1	44	WXSJ_quest_shizijia_1_3	乌古兰的十字架	主教的十字架，价值不菲！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010045	13	1	45	WXSJ_quest_shizijia_1_3	瓦如丁的双手	手上的戒指表明了它主人的身份。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010046	13	1	46	WXSJ_quest_shizijia_1_3	马扎尔马鞭	做工粗糙，远没有传说中的那么好。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010047	13	1	47	WXSJ_quest_shizijia_1_3	桃木	普通的桃木，不知道孛鲁需要它们做什么。	1	0	0	4	3	-1	-1	-1	-1	3	4	-1	任务道具
13010048	13	1	48	WXSJ_quest_shizijia_1_3	千年龟王的眼泪	在冰柱中凝结。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010049	13	1	49	WXSJ_quest_shizijia_1_3	范琪人的剑	血迹斑斑。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010050	13	1	50	WXSJ_quest_shizijia_1_3	飞虎令	武仙随身携带的物品。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010051	13	1	51	WXSJ_quest_shizijia_1_3	香果	可以止痛。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010052	13	1	52	WXSJ_quest_shizijia_1_3	禁卫军之耳	金国禁卫军的耳朵。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010053	13	1	53	WXSJ_quest_shizijia_1_3	高丽千年人参	采自远方的高丽！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010054	13	1	54	WXSJ_quest_shizijia_1_3	妙手回春丸	西夏巫师炼制的丹药，对于治疗伤痛有奇效。	1	0	0	4	5	-1	-1	-1	-1	5	4	-1	任务道具
13010055	13	1	55	WXSJ_quest_shizijia_1_3	麻羊皮	被水淋，被火烧也不容易损坏的麻羊皮。	1	0	0	4	5	-1	-1	-1	-1	5	4	-1	任务道具
13010056	13	1	56	WXSJ_quest_shizijia_1_3	大汗给窝阔台的信	我最聪明善良的三子窝阔台，我死之后，蒙古汗位由你接任，你要记住我以下的话：耶律楚材是我最好的朋友，在我生的时候，他是我最信任的重臣，在我死后，他还是你的重臣，你要在各个方面满足他以及他的后人。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010057	13	1	57	WXSJ_quest_shizijia_1_3	大汗给拖雷的信	我最多情善感的儿子拖雷，在我死之后，你要担当监国之责，在众人犯错误的时候，你要时时刻刻提醒他们。我不愿意死在家中，为了名声和荣誉，我要飞翔在蓝天和白云之间……	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010058	13	1	58	WXSJ_quest_shizijia_1_3	大汗给耶律楚材的信	耶律国师，这一生有你辅佐，是我铁木真最大的财富，在我死之后，请你像对待自己儿子一样，看护我的诸子，不要发丧，举哀，好叫敌人不知道我死去，这对攻金有利。以后不论打到何处，禁止他们杀百姓，烧民房，抢劫。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010059	13	1	59	WXSJ_quest_shizijia_1_3	主教的钥匙	一把做工精细的钥匙	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010060	13	1	60	WXSJ_quest_shizijia_1_3	箱中包裹	从主教的箱子中取出，不知道里面包的何物。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010061	13	1	61	WXSJ_quest_shizijia_1_3	贵族的包袱	基辅贵族原本背着它逃亡。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010062	13	1	62	WXSJ_quest_shizijia_1_3	遗弃的包袱	在死者身上找到的。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010063	13	1	63	WXSJ_quest_shizijia_1_3	收集道具	可以用来换装备。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010064	13	1	64	WXSJ_quest_shizijia_1_3	蒙哥的炸药	用它来摧毁山谷的道路，减弱敌人的攻势。	1	0	0	6	1	400006	58	0	1	1	4	-1	任务道具
13010065	13	1	65	WXSJ_quest_shizijia_1_3	八赤蛮的头	看起来这个头颅没什么特殊的。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010066	13	1	66	WXSJ_quest_shizijia_1_3	八赤蛮的头	把他挂在城堡处。	1	0	0	6	1	400007	58	0	1	1	4	-1	任务道具
13010067	13	1	67	WXSJ_quest_shizijia_1_3	剑士的耳朵	每一个耳朵象征着一个生命的结束。	1	0	0	4	20	-1	-1	-1	-1	10	4	-1	任务道具
13010068	13	1	68	WXSJ_quest_shizijia_1_3	炮弹	哈撒儿现在很需要它。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010069	13	1	69	WXSJ_quest_shizijia_1_3	金国战旗	在金国骑士身上得到的。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010070	13	1	70	WXSJ_quest_shizijia_1_3	红色的手绢	哲别让把它送给孙先生。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010071	13	1	71	WXSJ_quest_shizijia_1_3	蔑里乞骑兵的头	或许它能平息别勒古台的怒火。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010072	13	1	72	WXSJ_quest_shizijia_1_3	骑士头盔	骑士的头已经从中取出。	1	0	0	4	5	-1	-1	-1	-1	5	4	-1	任务道具
13010073	13	1	73	WXSJ_quest_shizijia_1_3	条顿武士心	随军巫师需要它。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010074	13	1	74	WXSJ_quest_shizijia_1_3	骑士的戒指	忠诚的象征，看起来价值不菲。	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010075	13	1	75	WXSJ_quest_shizijia_1_3	金十字架	大首领奥斯特恩佩戴。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010076	13	1	76	WXSJ_quest_shizijia_1_3	任务烟花	好看的烟花	1	0	0	6	1	413000	58	0	1	1	4	-1	任务道具
13010077	13	1	77	WXSJ_quest_shizijia_1_3	交给药店老板的信	一封信！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010078	13	1	78	WXSJ_quest_shizijia_1_3	交给中心传送使者的信	一封信！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010079	13	1	79	WXSJ_quest_shizijia_1_3	交给中心治疗师的信	一封信！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010080	13	1	80	WXSJ_quest_shizijia_1_3	易拉罐	一种垃圾，为了环保要收集起来！	1	0	0	4	20	-1	-1	-1	-1	20	4	-1	任务道具
13010081	13	1	81	WXSJ_quest_shizijia_1_3	被盗粮食	被偷走的粮食，皇城守粮人在收集它。	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	任务道具
13010082	13	1	82	WXSJ_quest_shizijia_1_3	九阴真经	一本记载着天下武学最高层次的武功秘籍，不知道为什么要还给黄药师- -#	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010083	13	1	83	hugurenwu	虎骨	可以强身健体，就是获取方式有些残忍- -	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010084	13	1	84	yaowanrenwu	草药	中药的一种，强身健体，就是味道有点怪怪的！可不要补多哦	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010085	13	1	85	xinjianrenwu	信件	一封信，内容不详~	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
