INT	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT
67	天马67	15	10	-1	-1	0	1	2	3	50000	8	11	8	11	20	29	15	22	590	1094	590	1094	1571	2918	1179	2188	2	5	1	2	750	936	5	1000	3	2	11000	11200	-1	-1	-1	-1	3
68	天马68	15	10	-1	-1	0	1	2	3	50000	20	29	8	11	8	11	15	22	1571	2918	590	1094	590	1094	1179	2188	2	5	1	2	750	936	5	1000	3	2	11000	11200	-1	-1	-1	-1	4
69	天马69	15	10	-1	-1	0	1	2	3	50000	8	11	20	29	8	11	15	22	590	1094	1571	2918	590	1094	1179	2188	2	5	1	2	750	936	5	1000	3	2	11000	11200	-1	-1	-1	-1	5
70	天马70	15	10	-1	-1	0	1	2	3	50000	3	16	8	41	3	16	6	31	253	1431	253	1431	674	3815	505	2862	2	5	1	2	750	936	5	1000	1	2	11000	11200	-1	-1	-1	-1	3
71	天马71	15	10	-1	-1	0	1	2	3	50000	3	16	3	16	8	41	6	31	674	3815	253	1431	253	1431	505	2862	2	5	1	2	750	936	5	1000	1	2	11000	11200	-1	-1	-1	-1	4
72	天马72	15	10	-1	-1	0	1	2	3	50000	8	41	3	16	3	16	6	31	253	1431	674	3815	253	1431	505	2862	2	5	1	2	750	936	5	1000	1	2	11000	11200	-1	-1	-1	-1	5
73	野马73	35	30	79	-1	0	0	1	0	50000	28	42	28	42	28	42	28	42	1159	1417	1159	1417	1159	1417	644	1417	2	6	1	2	449	553	5	1000	1	2	11001	11010	-1	-1	-1	-1	10
74	野马74	35	30	80	-1	0	0	1	0	50000	14	56	14	56	14	56	14	56	644	1932	644	1932	644	1932	1854	1932	2	6	1	2	449	553	5	1000	1	2	11001	11330	-1	-1	-1	-1	11
75	野马75	35	30	81	-1	0	0	1	0	50000	23	34	23	34	23	34	45	68	927	1133	927	1133	927	1133	1391	2266	2	6	1	2	449	553	5	1000	1	2	11001	11011	-1	-1	-1	-1	12
76	野马76	35	30	82	-1	0	0	1	0	50000	28	42	28	42	23	34	34	51	1159	1417	1159	1417	927	1133	1391	1700	2	6	1	2	449	553	5	1000	1	2	11001	11041	-1	-1	-1	-1	13
77	野马77	35	30	83	-1	0	0	1	0	50000	23	34	28	42	28	42	34	51	927	1133	1159	1417	1159	1417	1391	1700	2	6	1	2	449	553	5	1000	1	2	11001	11021	-1	-1	-1	-1	13
78	野马78	35	30	84	-1	0	0	1	0	50000	28	42	23	34	28	42	34	51	1159	1417	927	1133	1159	1417	1458	1700	2	6	1	2	449	553	5	1000	1	2	11001	11031	-1	-1	-1	-1	13
79	战马79	35	30	79	88	1	0	1	0	50000	25	46	25	46	25	46	25	46	788	1839	788	1839	788	1839	788	1839	2	6	2	3	782	816	5	1000	2	2	11001	11010	-1	-1	-1	-1	10
80	战马80	35	30	80	89	1	0	1	0	50000	14	42	14	42	14	42	14	42	421	1681	421	1681	421	1681	421	1681	2	6	2	3	782	816	5	1000	2	2	11001	11330	-1	-1	-1	-1	11
81	战马81	35	30	81	90	1	0	1	0	50000	7	21	7	21	7	21	49	147	211	841	211	841	211	841	1471	5884	2	6	2	3	782	816	5	1000	2	2	11001	11011	-1	-1	-1	-1	12
82	战马82	35	30	82	91	1	0	1	0	50000	19	24	19	24	51	62	38	47	631	946	631	946	1681	2522	1261	1892	2	6	2	3	782	816	5	1000	2	2	11001	11041	-1	-1	-1	-1	13
83	战马83	35	30	83	92	1	0	1	0	50000	51	62	19	24	19	24	38	47	1681	2522	631	946	631	946	1261	1892	2	6	2	3	782	816	5	1000	2	2	11001	11021	-1	-1	-1	-1	13
84	战马84	35	30	84	93	1	0	1	0	50000	19	24	51	62	19	24	38	47	631	946	1681	2522	631	946	1261	1892	2	6	2	3	782	816	5	1000	2	2	11001	11031	-1	-1	-1	-1	13
85	战马85	35	30	85	94	1	0	1	0	50000	13	16	89	108	13	16	13	16	421	631	421	631	2942	4413	421	631	2	6	2	3	782	816	5	1000	1	2	11001	11041	-1	-1	-1	-1	13
86	战马86	35	30	86	95	1	0	1	0	50000	13	16	13	16	89	108	13	16	2942	4413	421	631	421	631	421	631	2	6	2	3	782	816	5	1000	1	2	11001	11021	-1	-1	-1	-1	13
87	战马87	35	30	87	96	1	0	1	0	50000	89	108	13	16	13	16	13	16	421	631	2942	4413	421	631	421	631	2	6	2	3	782	816	5	1000	1	2	11001	11031	-1	-1	-1	-1	13
88	天马88	35	30	-1	-1	0	1	2	3	50000	21	49	21	49	21	49	21	49	992	1842	992	1842	992	1842	992	1842	2	6	1	2	784	972	5	1000	3	2	11001	11010	-1	-1	-1	-1	10
89	天马89	35	30	-1	-1	0	1	2	3	50000	11	60	11	60	11	60	11	60	425	2408	425	2408	425	2408	425	2408	2	6	1	2	784	972	5	1000	3	2	11001	11330	-1	-1	-1	-1	11
90	天马90	35	30	-1	-1	0	1	2	3	50000	5	24	5	24	5	24	30	167	397	737	397	737	397	737	2776	5156	2	6	1	2	784	972	5	1000	3	2	11001	11011	-1	-1	-1	-1	12
91	天马91	35	30	-1	-1	0	1	2	3	50000	17	26	17	26	45	68	34	51	595	1105	595	1105	1587	2946	1190	2210	2	6	1	2	784	972	5	1000	3	2	11001	11041	-1	-1	-1	-1	13
92	天马92	35	30	-1	-1	0	1	2	3	50000	45	68	17	26	17	26	34	51	1587	2946	595	1105	595	1105	1190	2210	2	6	1	2	784	972	5	1000	3	2	11001	11021	-1	-1	-1	-1	13
93	天马93	35	30	-1	-1	0	1	2	3	50000	17	26	45	68	17	26	34	51	595	1105	1587	2946	595	1105	1190	2210	2	6	1	2	784	972	5	1000	3	2	11001	11031	-1	-1	-1	-1	13
94	天马94	35	30	-1	-1	0	1	2	3	50000	7	36	17	96	7	36	13	72	255	1445	255	1445	680	3853	510	2890	2	6	1	2	784	972	5	1000	1	2	11001	11041	-1	-1	-1	-1	13
95	天马95	35	30	-1	-1	0	1	2	3	50000	7	36	7	36	17	96	13	72	680	3853	255	1445	255	1445	510	2890	2	6	1	2	784	972	5	1000	1	2	11001	11021	-1	-1	-1	-1	13
96	天马96	35	30	-1	-1	0	1	2	3	50000	17	96	7	36	7	36	13	72	255	1445	680	3853	255	1445	510	2890	2	6	1	2	784	972	5	1000	1	2	11001	11031	-1	-1	-1	-1	13
97	野马97	55	50	103	-1	0	0	1	0	50000	44	66	44	66	44	66	44	66	1170	1430	1170	1430	1170	1430	650	1430	2	7	1	3	484	622	5	1000	1	2	11002	11201	-1	-1	-1	-1	14
98	野马98	55	50	104	-1	0	0	1	0	50000	22	88	22	88	22	88	22	88	650	1950	650	1950	650	1950	1872	1950	2	7	1	3	484	622	5	1000	1	2	11002	11331	-1	-1	-1	-1	15
99	野马99	55	50	105	-1	0	0	1	0	50000	36	53	36	53	36	53	71	106	936	1144	936	1144	936	1144	1404	2288	2	7	1	3	484	622	5	1000	1	2	11002	11012	-1	-1	-1	-1	16
100	野马100	55	50	106	-1	0	0	1	0	50000	44	66	44	66	36	53	53	80	1170	1430	1170	1430	936	1144	1404	1716	2	7	1	3	484	622	5	1000	1	2	11002	11041	-1	-1	-1	-1	17
101	野马101	55	50	107	-1	0	0	1	0	50000	36	53	44	66	44	66	53	80	936	1144	1170	1430	1170	1430	1404	1716	2	7	1	3	484	622	5	1000	1	2	11002	11021	-1	-1	-1	-1	18
102	野马102	55	50	108	-1	0	0	1	0	50000	44	66	36	53	44	66	53	80	1170	1430	936	1144	1170	1430	1458	1716	2	7	1	3	484	622	5	1000	1	2	11002	11031	-1	-1	-1	-1	19
103	战马103	55	50	103	112	1	0	1	0	50000	39	72	39	72	39	72	39	72	796	1857	796	1857	796	1857	796	1857	3	7	2	3	816	850	5	1000	2	2	11002	11201	-1	-1	-1	-1	14
104	战马104	55	50	104	113	1	0	1	0	50000	22	66	22	66	22	66	22	66	425	1698	425	1698	425	1698	425	1698	3	7	2	3	816	850	5	1000	2	2	11002	11331	-1	-1	-1	-1	15
105	战马105	55	50	105	114	1	0	1	0	50000	11	33	11	33	11	33	77	231	213	849	213	849	213	849	1486	5941	3	7	2	3	816	850	5	1000	2	2	11002	11012	-1	-1	-1	-1	16
106	战马106	55	50	106	115	1	0	1	0	50000	30	37	30	37	80	97	60	73	637	955	637	955	1698	2546	1273	1910	3	7	2	3	816	850	5	1000	2	2	11002	11041	-1	-1	-1	-1	17
107	战马107	55	50	107	116	1	0	1	0	50000	80	97	30	37	30	37	60	73	1698	2546	637	955	637	955	1273	1910	3	7	2	3	816	850	5	1000	2	2	11002	11021	-1	-1	-1	-1	18
108	战马108	55	50	108	117	1	0	1	0	50000	30	37	80	97	30	37	60	73	637	955	1698	2546	637	955	1273	1910	3	7	2	3	816	850	5	1000	2	2	11002	11031	-1	-1	-1	-1	19
109	战马109	55	50	109	118	1	0	1	0	50000	20	25	139	170	20	25	20	25	425	637	425	637	2971	4456	425	637	3	7	2	3	816	850	5	1000	1	2	11002	11041	-1	-1	-1	-1	17
110	战马110	55	50	110	119	1	0	1	0	50000	20	25	20	25	139	170	20	25	2971	4456	425	637	425	637	425	637	3	7	2	3	816	850	5	1000	1	2	11002	11021	-1	-1	-1	-1	18
111	战马111	55	50	111	120	1	0	1	0	50000	139	170	20	25	20	25	20	25	425	637	2971	4456	425	637	425	637	3	7	2	3	816	850	5	1000	1	2	11002	11031	-1	-1	-1	-1	19
112	天马112	55	50	-1	-1	0	1	2	3	50000	33	77	33	77	33	77	33	77	1001	1859	1001	1859	1001	1859	1001	1859	3	7	2	3	819	1008	5	1000	3	2	11002	11201	-1	-1	-1	-1	14
113	天马113	55	50	-1	-1	0	1	2	3	50000	17	94	17	94	17	94	17	94	429	2431	429	2431	429	2431	429	2431	3	7	2	3	819	1008	5	1000	3	2	11002	11331	-1	-1	-1	-1	15
114	天马114	55	50	-1	-1	0	1	2	3	50000	7	38	7	38	7	38	47	262	401	744	401	744	401	744	2803	5206	3	7	2	3	819	1008	5	1000	3	2	11002	11012	-1	-1	-1	-1	16
115	天马115	55	50	-1	-1	0	1	2	3	50000	27	40	27	40	71	106	53	80	601	1116	601	1116	1602	2975	1202	2231	3	7	2	3	819	1008	5	1000	3	2	11002	11041	-1	-1	-1	-1	17
116	天马116	55	50	-1	-1	0	1	2	3	50000	71	106	27	40	27	40	53	80	1602	2975	601	1116	601	1116	1202	2231	3	7	2	3	819	1008	5	1000	3	2	11002	11021	-1	-1	-1	-1	18
117	天马117	55	50	-1	-1	0	1	2	3	50000	27	40	71	106	27	40	53	80	601	1116	1602	2975	601	1116	1202	2231	3	7	2	3	819	1008	5	1000	3	2	11002	11031	-1	-1	-1	-1	19
118	天马118	55	50	-1	-1	0	1	2	3	50000	10	57	27	150	10	57	20	113	258	1459	258	1459	687	3890	515	2918	3	7	2	3	819	1008	5	1000	1	2	11002	11041	-1	-1	-1	-1	17
119	天马119	55	50	-1	-1	0	1	2	3	50000	10	57	10	57	27	150	20	113	687	3890	258	1459	258	1459	515	2918	3	7	2	3	819	1008	5	1000	1	2	11002	11021	-1	-1	-1	-1	18
120	天马120	55	50	-1	-1	0	1	2	3	50000	27	150	10	57	10	57	20	113	258	1459	687	3890	258	1459	515	2918	3	7	2	3	819	1008	5	1000	1	2	11002	11031	-1	-1	-1	-1	19
121	野马121	75	70	127	-1	0	0	1	0	50000	60	90	60	90	60	90	60	90	1182	1444	1182	1444	1182	1444	657	1444	3	7	2	3	519	692	5	1000	1	2	11003	11201	-1	-1	-1	-1	20
122	野马122	75	70	128	-1	0	0	1	0	50000	30	120	30	120	30	120	30	120	657	1969	657	1969	657	1969	1890	1969	3	7	2	3	519	692	5	1000	1	2	11003	11332	-1	-1	-1	-1	21
123	野马123	75	70	129	-1	0	0	1	0	50000	48	72	48	72	48	72	96	144	945	1155	945	1155	945	1155	1418	2310	3	7	2	3	519	692	5	1000	1	2	11003	11012	-1	-1	-1	-1	22
124	野马124	75	70	130	-1	0	0	1	0	50000	60	90	60	90	48	72	72	108	1182	1444	1182	1444	945	1155	1418	1733	3	7	2	3	519	692	5	1000	1	2	11003	11041	-1	-1	-1	-1	23
125	野马125	75	70	131	-1	0	0	1	0	50000	48	72	60	90	60	90	72	108	945	1155	1182	1444	1182	1444	1418	1733	3	7	2	3	519	692	5	1000	1	2	11003	11021	-1	-1	-1	-1	24
126	野马126	75	70	132	-1	0	0	1	0	50000	60	90	48	72	60	90	72	108	1182	1444	945	1155	1182	1444	1458	1733	3	7	2	3	519	692	5	1000	1	2	11003	11031	-1	-1	-1	-1	25
127	战马127	75	70	127	136	1	0	1	0	50000	53	98	53	98	53	98	53	98	804	1875	804	1875	804	1875	804	1875	3	8	2	4	850	884	5	1000	2	2	11003	11201	-1	-1	-1	-1	20
128	战马128	75	70	128	137	1	0	1	0	50000	30	90	30	90	30	90	30	90	429	1714	429	1714	429	1714	429	1714	3	8	2	4	850	884	5	1000	2	2	11003	11332	-1	-1	-1	-1	21
