INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT
########	公共技能	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########				
########	公共技能	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########				
10		-1	展示技能	展示技能	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	Ability_Food_208	0	0	-1	5	800|800|800|800|800	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	4	800	0	15	-1	1	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	8|8|8|8|8	360	2|2|2|2|2	-1	0	0	0	0	0	0	0	0	0	-1	-1	|生效一次的附加效果1	0|0|0|0|0	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
11		-1	诱捕	诱捕	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	Ability_Food_256	0	10	-1	5	10000|10000|10000|10000|10000	3000|3000|3000|3000|3000	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	0	200	121	121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	15	0	0	-1	0	0	0	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	15|15|15|15|15	360	6|6|6|6|6	-1	0	0	0	1	1	0	6	50	0	-1	-1	生效一次的附加效果1	1|1|1|1|1	引导周期的附加效果1	1|1|1|1|1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
12	0	6	预留技能	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		100	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	2000	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	0|0|0|0|0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
13	0	6	预留技能	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		100	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	2000	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	0|0|0|0|0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
14	0	6	预留技能	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		100	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	2000	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	0|0|0|0|0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
15	0	6	预留技能	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		100	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	2000	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	0|0|0|0|0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
31	0	-1	棍僧人：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	311|312|313|314|315	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
32	0	-1	铁罗汉：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	321|322|323|324|325	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
33	0	-1	棒丐帮：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	331|332|333|334|335	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
34	0	-1	掌丐帮：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	500	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	341|342|343|344|345	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
35	0	-1	剑武当：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	351|352|353|354|355	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
36	0	-1	气武当：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	500	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	361|362|363|364|365	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
37	0	-1	刀唐：普通攻击	系统预留	系统预留	系统预留	Ability_BackStab	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	0	0	0	2	230		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	361|362|363|364|365	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
