INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING
29	油桐树	需要采集技能	-1	203006				
30	粮仓	天干物燥，小心火烛！	-1	203010				
31	花剌子模使者	与蒙古议和无望了！	-1	203007				
32	铁木真	我受上天之命，统一蒙古，救助普天百姓，共享太平富庶。	-1	201000|201001|201002|214000|214001|214002|214003|214004|202000|202001|202002|202003|202009				
33	博尔术	上兵伐谋，这是孙子兵法的精髓。	-1	201002|201004|201012				
34	札木合	我是扎答阑部的首领札木合，铁木真是我的安答！	-1	201005|201006				
35	王汗	我是克烈部的王汗，铁木真的义父！	-1	201008|201009|214011				
36	女佣豁黑	能够照顾夫人，是我的荣幸。	-1	201007				
37	孛儿帖	作为铁木真的妻子，我会一心一意的支持他，统一草原，争霸天下才是男人该做的事。	-1	201003				
38	诃额仑	铁木真跟他父亲一样的勇猛，他是长生天的儿子，就算是恶魔见到他也要惧怕三分。	-1	201010				
39	别勒古台	争霸天下，每次想起，全身血脉都会沸腾。	-1	201010|201011				
40	达拉皇后		-1	204004|204005				
41	合答安	总有一些事情，让你心里想着，有些时候，我想着想着，就睡着了！	-1	214001|214002				
42	阿勒坛	我是铁木真的叔叔，这点你们无法改变，你们要尊重我。	-1	214005|214006				
43	忽察儿		-1	214007|214008				
44	者勒蔑	我是成吉思汗的四骏之一，能追随大汗左右，是我一生最荣幸的事。	-1	214008|214009|214010				
45	木华黎	我为国家助成大业，擐甲执锐垂四十年，东征西讨，无复遗恨，第恨汴京未下耳!汝其勉之	-1	202006|202007|202010|202011|206001|206002|206003|206004				
46	豁儿赤		-1	202008|202009				
47	阿勒坛的亲信		-1					
48	铸剑使		-1	215002|215003				
49	老牧师		-1	215004|215005|215006				
50	木华花小姐		-1	215005|215006				
51	忽都虎		-1	215011|215012|215013				
52	昔班		-1	213001|213002				
53	合丹		-1	213003|213004				
54	拔都		-1	213005|213006|213007|213008|225010|225011|223000|223004|223007|223008				
55	蒙古西征军		-1					
56	朱家亮		-1	206010|206011|206012				
57	白发老人		-1	206007|206012				
58	窝阔台		-1					
59	金兵甲		-1	206010				
60	金兵乙		-1	206010				
61	帖古察		-1	206006|206007				
62	成吉思汗		-1					
63	忽兰公主		-1					
64	孛鲁		-1	206004|206005|206006|207005|207006				
65	木华黎		-1					
66	阔阔出		-1	206008				
67	王楫		-1	207001|207002|207003				
68	塔察儿		-1	207003|207004|207010				
69	崔立		-1					
70	小孩	我老爹是村子里最厉害的打铁匠，他的刀很锋利，要不你用脖子来试试！	-1	950000|950001|950002|950003|950004|950005|950006|950007|950008|950009|950010				
71	小北	我小陈小北！	-1					
72	长者	现在兵荒马乱的，能活到我这个岁数真是不容易啊。明天我得去庙里烧香叩谢菩萨才是。	-1	211040				
73	王员外	外面一天到晚打打杀杀的，生意都没法做。虽然有点积蓄，这样坐吃山空也不是办法啊。得想想办法！	-1	211064				
74	百夫长	武侠世界2之任务测试。	-1	211045|211046|211047|211048				
75	药店医生	卖药卖药，吃了一颗没病，吃了两颗就升仙了。	-1	211041				
76	汗国使者	现在战事紧急，需要不断补充兵源。我负责来这个村子征兵的。嘿嘿，你看起来不错，脸蛋挺白的。走，跟大爷我回营去。	-1	211050|211048|910016|910014|910018|910012|910013|910017				
77	打铁匠	卖铁卖电，代收水费电费，有要的密我啦	-1	203007				
78	旗帜	（一面破旧的旗帜）	-1					
79	蒙古良马	（一匹良驹）	-1					
81	丘处机		-1	212009|212010|212011|212012				
82	拖雷	11	-1	207011|212003|212004|212012|217007|217008|217009|217010|217011				
83	失措的基辅人							
84	蒙哥			225004|225005|225006|225007|223000|223001|223002|223003|223004				
85	德米特尔							
86	贵由			225008|225009|223005|223006				
87	别儿哥			223012|223013				
88	郭宝玉将军			217008|217009				
89	百户长			217012				
92	贝达尔			226000|226001|226002|226003|226006|226011				
93	海都			226004|226005|226006				
94	随军巫师			226007|226008|226009				
95	重骑兵指挥官			226010|226011				
2001	马车夫向东	贯彻万里地，弹指一挥间。	-1	300424|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2002	马车夫向南	贯彻万里地，弹指一挥间。	-1	300423|300425|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2003	马车夫向北	贯彻万里地，弹指一挥间。	-1	300423|300424|300426|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2004	马车夫向中	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300427|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2005	马车夫向白	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300428|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2006	跌打师傅李东	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2007	跌打师傅李南	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2008	跌打师傅李北	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2009	跌打师傅李中	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2010	跌打师傅李白	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2011	郭破奴	呵呵，爹和娘也来过这里么？……我觉得，自己离爹娘好像又近了些，虽然以前住在一块儿，有时候却觉得爹娘离得好远。	-1	800000|800001|800002|800004|800005				
2012	段娉嫣	郭哥哥，立誓要重走父母双亲的江湖路，他的双亲均已在二十年前保卫临安的战役中为国尽忠了……	-1	800013|800014|800015|800016|800017|800018|800020|211025				
2013	孟仲资	我的夫君被征去修理边境城防，这一去不知几万里，我们夫妻何时才能团圆？	-1	800006|800007|800008				
2014	牛郎	我能娶到这么好的仙女娘子，真不知是几辈子修来的福分。	-1	211000|211035|300306|211001|211017				
2015	织女	若能终身与夫君相伴，我真的是只羡鸳鸯不羡仙。	-1	800022|800023|800024|300307|300308|300309				
2016	梁山伯	我与英台同窗三年，当真是情深意厚。	-1	211008|211038|211039				
2017	祝英台	我很想恢复自己的女儿身，却不知该以怎样的方式和山伯说……	-1	800009|800010|800011|800012				
2018	董永		-1					
2019	七仙女		-1					
2020	卡巴斯基	年轻人，你知道罗斯国“僵尸新娘”的故事么？这个故事带给我们对同情与宽恕的思考。	-1					
2021	彭莹玉	我的武学秘笈《玄功要诀》，内分上下各九卷，分别记录我所见习到的中土以及四海各国的上乘武功，我立誓要将此书传与有缘之人。	-1					
2022	张中	我五十年前就对成吉思汗说，忽必烈龙瞳凤目，相貌贵不可言，预言他日必登帝位，而其父拖雷两颊鲜红，目光如火，定必人中龙凤，可惜只得中寿，无法享有天下。	-1					
2023	冷谦	年轻人，永远记住一点，人决不能贪得无厌。我的一位穷朋友，曾向我请求救济，我便给他画了道门告诉他进去即可获得富贵但决不可贪心。哪料他一进去，满眼都是金银珠宝，便忘了我的吩咐，不顾一切地拼命拿取，在迷乱中却把自己的名片遗落了。过了几天，宫中金库发现少了一批财宝，守吏在库中捡到那张名片，便把我这朋友抓去了。所以人一定不要贪心！	-1					
2024	周颠	要想成大事，单凭一帮一会之力，是做不成的，总须联络普天下的英雄豪杰，一齐动手，才能成事！	-1					
2025	契此	肚大能容，容天下难容之事；口开常笑，笑世间可笑之人。	-1					
2026	张淡月	冷谦此人绝不可小觑！上次我们好不容易抓到他，押到午门问斩，不曾料他以口渴为名向刽子手要了一瓶水，一边喝一边把脚插入瓶中，不一会，全身都缩进瓶内！竟有此缩骨之术！	-1					
2027	孙定一	五散人一直与我们六扇门作对，这次我和黑龙使张淡月不远万里前来，务求一举剿灭他们！	-1					
2028	张小凡	都说，张中张真人少遇异人，学得太乙神数，能观云望气，预言祸福，十分灵验。我们村的惨案，我想让他帮我算出幕后黑手。	-1					
2029	林惊羽	我与小凡，本来平平安安的一起生活在我们的村子里，我原以为，我们会在村子里快快乐乐的生活一辈子，直到那个雨夜的降临……	-1					
2030	孙小豹	"小凡和小羽，他们的整个村子被人血洗之痛,亲人尽殁。所以二人前来求助张真人，我真想帮他们做些事情。"	-1					
2031	陈尘超		-1					
2032	田不易		-1					
2033	云易岚		-1					
2034	幽姬		-1					
2035	万剑一		-1					
2036	水月师太		-1					
2037	陈铁手		-1					
2038	龙易天	难不成我这个武功榜上的传奇人物，纵使有一身的本事，强横一时，惊才绝艳，当世无双……终免不了始乱终弃，埋骨于此？！天哪！！没天理...	-1					
2039	史图	原来两年的守候和感动都将在看完的那一刻终结，好像要和什么人告别似的，种种离愁别绪顿时升上心头。想到以前许多要好的朋友最终由于分别而不再遇见，就算遇见了，也没有当年的亲切感觉，虽然有冲动重新拾起当年的友谊，但在这人人为将来忙碌奔波，唯我甘于堕落，一事无成的现实世界，又谈何容易？罢了，罢了……	-1					
2040	波林		-1					
2041	四十大盗团团首	哼，阿里巴巴，我早晚会找你算账的！	-1					
2042	桑鲁卓	美丽的服装和美好的故事一样，都需要大家来分享。	-1					
2043	山努亚	你见到桑鲁卓了么？我还等她给我讲故事呢！	-1					
2044	萨曼	自从王兄开始听桑鲁卓每天讲一个故事后，他头不疼了，手不抖了，脾气也不爆了。	-1					
2045	莫拉维	我们也已经仿照大都，发行了自己的“宝钞”。	-1					
2046	摩西 		-1					
2047	海里凡		-1					
2048	瑞巴		-1					
2049	努尔		-1					
2050	南斯尔丁		-1					
2051	毕克		-1					
2052	墨菲	你喜欢一件事物，有时候你就喜欢被他们环绕。	-1					
2053	杨亮节		-1					
2054	阿凡提		-1					
2055	买买提		-1					
2056	巴依老爷		-1					
2057	韩宅兴	"释迦牟尼佛当众对弥勒说,位居补处,当来在此成佛的证明。此即我们弥勒教“弥勒下生成佛”口号的来历。"	-1					
2058	傅大士	双林树下当来解脱善慧大士。	-1					
2059	法庆	弥勒下生成佛！	-1					
2060	傅宣德	说不得大师的布袋，名叫乾坤一气袋，质料奇妙，非丝非革，乃天地间的一件异物，寻常刀剑也无法把它刺穿。《	-1					
2061	李归伯	弥勒真弥勒，分身千百亿。时时示世人，世人自不识。	-1					
2062	宋子贤		-1					
2063	高昙成		-1					
2064	刘凝静		-1					
2065	加亚莫	“来如流水逝如风，不知何处来何所终？”这是我所谱写的诗句，你觉得如何？我的诗集《鲁拜集》里，集中描绘了我对祖国的热爱，和我对生活的赞美。	-1					
2066	盖叫天		-1					
2067	瑞格	如果你喜欢什么，就让他走吧，让自然之母作决定，是你的，慢慢就会是你的。	-1					
2068	查里		-1					
2069	汤米		-1					
2070	琼斯		-1					
2071	霍华德		-1					
2072	辛巴达	朋友，在你远行冒险之前，请在我这里备好充足的物资。还有，我还可以给你提供一些注意事项。	-1					
2073	柯林		-1					
2074	德杰尼勒斯		-1					
2075	弘治		-1					
2076	纳斯鲁丁		-1					
2077	曲见方		-1					
2078	吴应炬		-1					
2079	霍加		-1					
2080	纳斯维		-1					
2081	勒丁		-1					
2082	哈菲兹	我们要敢于冲破传统僵化思想的束缚，歌颂美酒和爱情，赞美生活，始终对人生充满探索精神。	-1					
2083	尼扎米	"成吉思汗和他的子孙们，建立的汗国遍布世界,新月和十字架闪耀在长生天之下。"	-1					
2084	法瑞尔		-1					
2085	艾伦		-1					
2086	王隐林	国家有难之时，便是习武之人效力之日，我定会联同众豪杰，洒热血，抛头颅，发扬武学之“侠义精神”，成为一代英雄。	-1					
2087	洪熙夫		-1					
2088	黄澄可	九龙拳，九种武功集一身，拳招一发犹如“九龙冲天”，幻变无穷。	-1					
2089	苏黑虎	兆德师傅领我去少林之初，一点功夫也不传授给我，只是每天吩咐我重复地从事抛石锁、弹石球、埋木椿等最基础的功力训练，我后来才知原来兆德师傅心里是另有打算的，他希望我能够练得一双桥手坚实如铁，唯拥有这种武术功底，少林拳的威力才能得以发挥。	-1					
2090	兆德	黑虎年幼已习武术，有武学根基，贫僧只不过稍加点拨而已，主要还是黑虎肯下功夫，才有今日之成就。	-1					
2091	吕荣	（横眼瞟了你一眼）哼，苏黑虎算什么东西，一个乡巴佬也想在王城开武馆？不行，找机会一定要灭了他的威风！	-1					
2092	黄麒英	周泰兄弟侠骨丹心，唯心高气傲，自尊心过强。醉心武学，为实实在在的“武痴”。	-1					
2093	李胡子		-1					
2094	陆亚彩		-1					
2095	周泰	我曾经被羁绊于武学范畴上的“象牙塔”内。後得高人指点，抛开祖传的周家拳枷锁，脱胎换骨，练成了一套以柔为主，柔中寓刚，行掌时绵绵延长的掌法---“软绵掌”。	-1					
2096	黎仁超	我的七星拳，拳术犹如“北斗七星”，静如穹苍天河，动如斗转星移。这“七星拳”本作“七伤拳”，招式以狠辣恶毒为主，务求一招杀敌。所谓伤人先伤己。	-1					
2097	潭石窝	我以前性格率直冲动，后随咏春宗师学武，不单武艺有进，人亦变得成熟稳重，后因缘际遇结识到反抗暴政的忠义之士，我便要舍身匡扶，即使多番身陷险境亦义无反顾！	-1					
2098	陈铁志		-1					
2099	陈长泰	"我哥哥陈铁志，一身武功刚猛雄劲,出手疾如闪电，指劲雄浑，坚如铁石，故人称“鹰爪王”。"	-1					
2100	许夫人		-1					
2101	陈吊眼		-1					
2102	陈文桂		-1					
2103	刘奎大		-1					
2104	毕成剑		-1					
2105	养游击		-1					
2106	凌轰		-1					
2107	句摩		-1					
2108	弥连		-1					
2109	方变分		-1					
2110	品冠兄		-1					
2111	李天青		-1					
2112	明宇重		-1					
2113	于秋生		-1					
2114	李随风		-1					
2115	金惜受		-1					
2116	福曼声		-1					
2117	练晚凝		-1					
2118	赵飞龙		-1					
2119	邹发妹		-1					
2120	易荣冕		-1					
2121	海亚姆		-1					
2122	生财		-1					
2123	生福		-1					
2124	生禄		-1					
2125	生喜		-1					
2126	古称义		-1					
2127	天姻缘		-1					
2128	赵庆儿		-1					
2129	阿法芙	我们王城也有不少娱乐场所，我开了这家夜店，你要是有什么不明白之处，尽管开口。	-1					
2130	巴巴穆司塔	自从阿法芙公主开了这家夜店，我就卖了祖业，投身娱乐事业当中。	-1					
2131	弄衣		-1					
2132	乌姆鲁勒		-1					
2133	费一		-1					
2134	张平江		-1					
2135	刘文武		-1					
2136	杨继祖		-1					
2137	何四方		-1					
2138	孙适马		-1					
2139	段查马		-1					
2140	王陶		-1					
2141	龙老大		-1					
2142	龙老二		-1					
2143	龙老三		-1					
2144	龙老四		-1					
2145	苏贵才		-1					
2146	刘行云		-1					
2147	刘夸海		-1					
2148	赵喜来		-1					
2149	罗兰		-1					
2150	左罗		-1					
2151	匡威		-1					
2152	陈锐步		-1					
2153	利助保		-1					
2154	刘世义		-1					
2155	袁同陶		-1					
2156	阿明		-1					
2157	陈志新		-1					
2158	盖斯		-1					
2159	伊本·穆格		-1					
2160	霍里思社		-1					
2161	卡西达		-1					
2162	纳赛尔		-1					
2163	艾敏		-1					
2164	丁锻衣		-1					
2165	洪九		-1					
2166	麦根		-1					
2167	基尔斯		-1					
2168	银匠哈桑 	我的瑟诺，我会追随你的步子，哪怕天涯海角。	-1					
2169	巴布亚		-1					
2170	马车夫钱东	贯彻万里地，弹指一挥间。	-1					
2171	马车夫钱南	贯彻万里地，弹指一挥间。	-1					
2172	马车夫钱北	贯彻万里地，弹指一挥间。	-1					
2173	马车夫钱中	贯彻万里地，弹指一挥间。	-1					
2174	马车夫钱白	贯彻万里地，弹指一挥间。	-1					
2175	跌打师傅袁东	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2176	跌打师傅袁南	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2177	跌打师傅袁北	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2178	跌打师傅袁中	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2179	跌打师傅袁白	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2180	马车夫王东	贯彻万里地，弹指一挥间。	-1					
2181	马车夫王南	贯彻万里地，弹指一挥间。	-1					
2182	马车夫王北	贯彻万里地，弹指一挥间。	-1					
2183	马车夫王中	贯彻万里地，弹指一挥间。	-1					
2184	马车夫王白	贯彻万里地，弹指一挥间。	-1					
2185	跌打师傅何东	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2186	跌打师傅何南	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2187	跌打师傅何北	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2188	跌打师傅何中	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2189	跌打师傅何白	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2190	马车夫刘东	贯彻万里地，弹指一挥间。	-1					
2191	马车夫刘南	贯彻万里地，弹指一挥间。	-1					
2192	马车夫刘北	贯彻万里地，弹指一挥间。	-1					
2193	马车夫刘中	贯彻万里地，弹指一挥间。	-1					
2194	马车夫刘白	贯彻万里地，弹指一挥间。	-1					
2195	跌打师傅徐东	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2196	跌打师傅徐南	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2197	跌打师傅徐北	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2198	跌打师傅徐中	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2199	跌打师傅徐白	我们赤脚医生的医术高明得不可思议，只要你有需要，我们就会在瞬间让你伤势痊愈。	-1					
2200	马车夫向真北	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300429|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2201	马车夫向真南	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300430|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2202	马车夫向正东	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300431|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2203	马车夫向东北	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300432|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2204	马车夫向边	贯彻万里地，弹指一挥间。	-1	300423|300424|300425|300426|300427|300428|300429|300430|300431|300434|300435|300436|300437|300438|300439|300440|300441|300442|300443|300444|300445|300446				
2205	马车夫钱真北	贯彻万里地，弹指一挥间。	-1					
2206	马车夫钱真南	贯彻万里地，弹指一挥间。	-1					
2207	马车夫钱正东	贯彻万里地，弹指一挥间。	-1					
2208	马车夫钱东北	贯彻万里地，弹指一挥间。	-1					
2209	马车夫钱边	贯彻万里地，弹指一挥间。	-1					
2210	马车夫王真北	贯彻万里地，弹指一挥间。	-1					
2211	马车夫王真南	贯彻万里地，弹指一挥间。	-1					
2212	马车夫王正东	贯彻万里地，弹指一挥间。	-1					
2213	马车夫王东北	贯彻万里地，弹指一挥间。	-1					
2214	马车夫王边	贯彻万里地，弹指一挥间。	-1					
2215	马车夫刘真北	贯彻万里地，弹指一挥间。	-1					
2216	马车夫刘真南	贯彻万里地，弹指一挥间。	-1					
2217	马车夫刘正东	贯彻万里地，弹指一挥间。	-1					
2218	马车夫刘东北	贯彻万里地，弹指一挥间。	-1					
2219	马车夫刘边	贯彻万里地，弹指一挥间。	-1					
2220	王城苏鲁锭	需要帮助么？	-1					
2221	朗朗		-1					
2222	朗朗		-1					
2223	朗朗		-1					
2224	朗朗		-1					
2225	朗朗		-1					
2226	朗朗		-1					
3001	赵敏	这次去四川省玩，我看到了大熊猫，胖乎乎圆敦敦的，可好玩啦！	-1					
3002	努尔博达	本王视敏儿为掌上明珠，真希望她长大后，能为了我们大元朝，招一位智勇双全，忠心为国的好驸马。	-1					
3003	伯颜	虽然大元基业初定，但仍有不少妄想螳臂当车之辈，蠢蠢欲动。近闻江湖上兴起一个叫“红巾会”的组织，行事十分可疑，我已命张天宝打入其中，严加监视，哼哼！	-1					
3004	脱脱	当今圣上年事已高，今后有谁来做中土以及四大汗国的总天可汗，使不少人都觊觎的。	-1					
3005	张弘范	许多人说我是罪人，可有谁又能想到，如果国家继续分裂，战火不断，又得有多少百姓受苦？	-1					
3006	天落枫	"这次朝廷召开武林大会，可不仅仅是弘扬武学那么简单,嘿嘿！名为召开武林大会，实则欲统领江湖。"	-1					
3007	左惊飞	"这次武林大会由官方主办,试图给武林中各门派划出势力范围。有了赵王爷的鼎力支持，我一定要在这次武林大会上，扬名立万！"	-1					
3008	张天宝	"致富须权色,从来信不诬。 儒冠无一用, 底苦死读书? 大丈夫不可一日无权,君宝，我们注定会走上两条截然不同的人生之路。"	-1					
3009	王保保	爷爷和我，都好喜欢妹妹赵敏，希望她能一辈子幸福快乐。	-1					
3010	图兰朵	我出的三个难题，都被李察罕破解了，我看此人精明强干，以后必是安邦定国之才！	-1					
3011	李察罕	图兰朵公主，温柔美丽，气质不凡，是我心中理想的妻子。	-1					
3012	耶律燕	我父亲耶律楚材，正如他的名字“楚材”所说，“楚虽有才，实为晋用。”为中华大元帝国的兴旺鞠躬尽瘁。没想到如今竟被谗言构害。。。	-1					
3013	完颜萍	我的心中，永远留有一个人的位置，虽然我们相隔四十万公里。。。	-1					
3014	耶律齐	这次父亲受谗言被软禁，我已发动净衣，污衣两派的兄弟，打通关系，多方营救。却不知是否有效。	-1					
3015	耶律霍修	我们契丹人对于勇士向来不吝赞美之词，如同我们曾经的国号翻译成汉语就是“镔铁之国”一样，你就是镔铁一样坚强的勇士。	-1					
3016	纳兰佩紫	纳兰是金代女真“白号之姓”的三十个姓氏之一，后来蒙古灭了女真的纳兰部，遂以纳兰为姓。	-1					
3017	纳兰若水	昏鸦尽，小立恨因谁?急雪乍翻香阁絮，轻风吹到胆瓶梅，心字已成灰。	-1					
3018	西门君临	剑不是用来看的，当你一剑刺入他们的咽喉，眼看着雪花在你剑下绽开，你若能看得见那一瞬间的灿烂辉煌，就会知道那种美是绝没有任何事能比得上的。	-1	300100				
3019	施耐庵	陆秀夫大人，陪我大宋江山走完了最后一程，其心其志，令人敬佩！	-1					
3020	黄公望	在下黄公望，江湖人称大痴道人、一峰道人、井西道人等，说的也是在下。	-1					
3021	吴镇子	绘画是一门陶冶人情操的艺术，寄情山水，让人心旷神怡。	-1					
3022	高克恭	我家先世是西域人，父亲名亨，字嘉甫，随成吉思汗的大军，迁居大都，是宫廷御用画家。	-1					
3023	白朴	我们白家与元好问父子为世交，我曾被元叔叔收养，我十分感激他，作诗谢之曰：“顾我真成丧家犬，赖君曾护落窠儿。”	-1					
3024	元好问	看到实甫在作曲上取得如此大的成就，我觉得很欣慰。	-1					
3025	龙须客	“侠之大者，为国为民”，在我认为，真正的侠者，要有为国为民之仁心，不可为而为的勇义，能够将心融入江湖、国家。为自己的理想而努力奋斗。	-1					
3026	郑隐娘	"郑氏刺术，天下无敌，“十步杀一人,千里不留行。事了拂衣去,深藏身与名。”正是我们的真实写照。"	-1					
3027	萨拉丁	西方最有传奇色彩的君主，是亚瑟王和萨拉丁大帝。而现在，全世界的目光集中到了你们中国，因为你们的成吉思汗。	-1					
3028	马可尼	“货人国利子孙”，此话不假！如果我能助拔都夺得统治中土以及四大汗国的天可汗之位，那我的买卖，就可以做遍亚欧大陆！	-1					
3029	拔都	我的父亲术赤，作为成吉思汗的嫡长子，却没有夺得天可汗的位子，只做了一方汗国之主。我要夺回属于我的东西！	-1					
3030	马可·尼科洛	我们上次从大都往家乡走，路过莱茵，被那里的人民热情挽留，于是我们留下来，向他们讲述遥远的东方故事。	-1					
3031	马可·马泰奥	马可尼准备和拔都联手？嘿嘿，这次有的赚了。	-1					
3032	阿里巴巴	我来自遥远的西域，因为曾经用自己的智慧和勇气战胜了四十个大盗并获得一批宝藏，因而受到大家关注。其实每个人都能成为我，需要的只是一点点勇气和思考。	-1	300100				
3033	戈西木	看！只要手里握着宝钞，我就能面对全世界！阿里巴巴算什么？他没找到四十大盗的财富之前，成天到我家借豆子做饭充饥，就是穷巴佬一个！	-1					
