INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
12112002	低级拆卸道具-拆技能-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112003	低级拆卸道具-拆技能-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112004	低级拆卸道具-拆技能-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112005	低级拆卸道具-拆技能-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112006	低级拆卸道具-拆配方-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112007	低级拆卸道具-拆配方-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112008	低级拆卸道具-拆配方-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112009	低级拆卸道具-拆配方-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112010	低级拆卸道具-拆配方-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112011	低级拆卸道具-拆召唤-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112012	低级拆卸道具-拆召唤-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112013	低级拆卸道具-拆召唤-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112014	低级拆卸道具-拆召唤-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112015	低级拆卸道具-拆召唤-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112016	低级拆卸道具-拆坐骑-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112017	低级拆卸道具-拆坐骑-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112018	低级拆卸道具-拆坐骑-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112019	低级拆卸道具-拆坐骑-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112020	低级拆卸道具-拆坐骑-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112101	初级拆卸道具-拆技能-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112102	初级拆卸道具-拆技能-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112103	初级拆卸道具-拆技能-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112104	初级拆卸道具-拆技能-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112105	初级拆卸道具-拆技能-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112106	初级拆卸道具-拆配方-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112107	初级拆卸道具-拆配方-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112108	初级拆卸道具-拆配方-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112109	初级拆卸道具-拆配方-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112110	初级拆卸道具-拆配方-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112111	初级拆卸道具-拆召唤-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112112	初级拆卸道具-拆召唤-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112113	初级拆卸道具-拆召唤-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112114	初级拆卸道具-拆召唤-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112115	初级拆卸道具-拆召唤-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112116	初级拆卸道具-拆坐骑-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112117	初级拆卸道具-拆坐骑-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112118	初级拆卸道具-拆坐骑-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112119	初级拆卸道具-拆坐骑-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112120	初级拆卸道具-拆坐骑-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112201	中级拆卸道具-拆技能-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112202	中级拆卸道具-拆技能-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112203	中级拆卸道具-拆技能-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112204	中级拆卸道具-拆技能-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112205	中级拆卸道具-拆技能-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112206	中级拆卸道具-拆配方-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112207	中级拆卸道具-拆配方-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112208	中级拆卸道具-拆配方-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112209	中级拆卸道具-拆配方-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112210	中级拆卸道具-拆配方-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112211	中级拆卸道具-拆召唤-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112212	中级拆卸道具-拆召唤-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112213	中级拆卸道具-拆召唤-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112214	中级拆卸道具-拆召唤-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112215	中级拆卸道具-拆召唤-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112216	中级拆卸道具-拆坐骑-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112217	中级拆卸道具-拆坐骑-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112218	中级拆卸道具-拆坐骑-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112219	中级拆卸道具-拆坐骑-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112220	中级拆卸道具-拆坐骑-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112301	高级拆卸道具-拆技能-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112302	高级拆卸道具-拆技能-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112303	高级拆卸道具-拆技能-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112304	高级拆卸道具-拆技能-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112305	高级拆卸道具-拆技能-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112306	高级拆卸道具-拆配方-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112307	高级拆卸道具-拆配方-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112308	高级拆卸道具-拆配方-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112309	高级拆卸道具-拆配方-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112310	高级拆卸道具-拆配方-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112311	高级拆卸道具-拆召唤-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112312	高级拆卸道具-拆召唤-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112313	高级拆卸道具-拆召唤-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112314	高级拆卸道具-拆召唤-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112315	高级拆卸道具-拆召唤-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112316	高级拆卸道具-拆坐骑-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112317	高级拆卸道具-拆坐骑-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112318	高级拆卸道具-拆坐骑-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112319	高级拆卸道具-拆坐骑-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112320	高级拆卸道具-拆坐骑-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112401	特殊类型拆卸道具-拆技能-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112402	特殊类型拆卸道具-拆技能-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112403	特殊类型拆卸道具-拆技能-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112404	特殊类型拆卸道具-拆技能-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112405	特殊类型拆卸道具-拆技能-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112406	特殊类型拆卸道具-拆配方-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112407	特殊类型拆卸道具-拆配方-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112408	特殊类型拆卸道具-拆配方-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112409	特殊类型拆卸道具-拆配方-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112410	特殊类型拆卸道具-拆配方-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112411	特殊类型拆卸道具-拆召唤-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112412	特殊类型拆卸道具-拆召唤-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112413	特殊类型拆卸道具-拆召唤-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112414	特殊类型拆卸道具-拆召唤-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112415	特殊类型拆卸道具-拆召唤-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112416	特殊类型拆卸道具-拆坐骑-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112417	特殊类型拆卸道具-拆坐骑-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112418	特殊类型拆卸道具-拆坐骑-2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112419	特殊类型拆卸道具-拆坐骑-3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	3	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12112420	特殊类型拆卸道具-拆坐骑-4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	4	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12114001	低级炼化道具-炼技能-0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
12114002	低级炼化道具-炼技能-1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	100	-1	-1	-1	-1	-1	-1	-1	-1
12114003	低级炼化道具-炼技能-2	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2	100	-1	-1	-1	-1	-1	-1	-1	-1
12114004	低级炼化道具-炼技能-3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	3	100	-1	-1	-1	-1	-1	-1	-1	-1
12114005	低级炼化道具-炼技能-4	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	4	100	-1	-1	-1	-1	-1	-1	-1	-1
12114006	低级炼化道具-炼配方-0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	100	-1	-1	-1	-1	-1	-1
