INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING
11020006	11	2	6	daxingbaoshi_01	通灵烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020007	11	2	7	daxingbaoshi_01	幻化烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020008	11	2	8	daxingbaoshi_01	血色烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020009	11	2	9	daxingbaoshi_01	魂魄烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020010	11	2	10	daxingbaoshi_01	涕血烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020011	11	2	11	daxingbaoshi_01	梦魂烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020012	11	2	12	daxingbaoshi_01	龙泣烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11030001	11	3	1	daxingbaoshi_01	微瑕骨灵道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11040001	11	4	1	daxingbaoshi_01	晶莹骨灵道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11050001	11	5	1	daxingbaoshi_01	璀璨骨灵道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11050002	11	5	2	daxingbaoshi_01	矿石	铸造的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成	掉落木头.obj	cj_yingguang_huang	0	ffffff
11050003	11	5	3	daxingbaoshi_01	草药	制衣的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成	掉落木头.obj	cj_yingguang_huang	0	ffffff
11050004	11	5	4	daxingbaoshi_01	虫草1	工艺品的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成	掉落木头.obj	cj_yingguang_huang	0	ffffff
11050005	11	5	5	daxingbaoshi_01	虫草2	烹饪的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成	掉落木头.obj	cj_yingguang_huang	0	ffffff
11960001	11	96	1	WXSJ_item_baoshi_4_7	剔犀云纹圆盒	一件拥有神奇力量的装备	1	100	100	5	20	-1	-1	-1	-1	-1	4	0	装备	掉落装备_01.obj	cj_yingguang_huang	0	ffffff
11960002	11	96	2	WXSJ_item_baoshi_4_7	羊角梳	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	200	200	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960003	11	96	3	WXSJ_item_baoshi_4_7	八卦纹镜	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	300	300	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960004	11	96	4	WXSJ_item_baoshi_4_7	贵重丝帛画	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	400	400	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960005	11	96	5	WXSJ_item_baoshi_4_7	玉碗	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	500	500	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960006	11	96	6	WXSJ_item_baoshi_4_7	珐琅缠枝花镜	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	600	600	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960007	11	96	7	WXSJ_item_baoshi_4_7	琉璃杯	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	700	700	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960008	11	96	8	WXSJ_item_baoshi_4_7	鎏金云龙纹镯	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	800	800	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960009	11	96	9	WXSJ_item_baoshi_4_7	青花瓷瓶	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	900	900	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960010	11	96	10	WXSJ_item_baoshi_4_7	和氏璧	据说很多NPC商人都在收这种东西，可以卖给NPC换钱	1	1000	1000	5	20	-1	-1	-1	-1	-1	4	0	换钱宝物	掉落丝绸.obj	cj_yingguang_huang	0	ffffff
11960011	11	96	11	WXSJ_item_baoshi_4_7	上等祖母绿	一件拥有神奇力量的装备	1	100	100	5	20	-1	-1	-1	-1	-1	4	0	装备	掉落装备_01.obj	cj_yingguang_huang	0	ffffff
11970001	11	97	1	dakongkuangshi_01	牌型对调道具1	可以将装备的牌型对调的宝物	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌型宝物	掉落木头.obj	cj_yingguang_huang	0	ffffff
11970011	11	97	11	dakongkuangshi_01	改牌道具1	可以将牌型更改成你想要的牌型	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌型宝物	掉落木头.obj	cj_yingguang_huang	0	ffffff
11970021	11	97	21	dakongkuangshi_01	随机改牌道具1	可以将牌型随机更改成其他牌型	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌型宝物	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980015	11	98	15	majiang_01	东	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980016	11	98	16	majiang_01	南	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980017	11	98	17	majiang_01	西	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980018	11	98	18	majiang_01	北	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980019	11	98	19	majiang_01	中	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980020	11	98	20	majiang_01	发	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980021	11	98	21	majiang_01	白	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980031	11	98	31	majiang_01	1条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980032	11	98	32	majiang_01	2条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980033	11	98	33	majiang_01	3条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980034	11	98	34	majiang_01	4条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980035	11	98	35	majiang_01	5条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980036	11	98	36	majiang_01	6条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980037	11	98	37	majiang_01	7条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980038	11	98	38	majiang_01	8条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980039	11	98	39	majiang_01	9条	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980041	11	98	41	majiang_01	1筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980042	11	98	42	majiang_01	2筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980043	11	98	43	majiang_01	3筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980044	11	98	44	majiang_01	4筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980045	11	98	45	majiang_01	5筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980046	11	98	46	majiang_01	6筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980047	11	98	47	majiang_01	7筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980048	11	98	48	majiang_01	8筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980049	11	98	49	majiang_01	9筒	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980051	11	98	51	majiang_01	1万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980052	11	98	52	majiang_01	2万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980053	11	98	53	majiang_01	3万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980054	11	98	54	majiang_01	4万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980055	11	98	55	majiang_01	5万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980056	11	98	56	majiang_01	6万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980057	11	98	57	majiang_01	7万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980058	11	98	58	majiang_01	8万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11980059	11	98	59	majiang_01	9万	这不是一张牌！它继承了中国人民的优秀传统！	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	牌	掉落木头.obj	cj_yingguang_huang	0	ffffff
11990001	11	99	1	xin_01	帮会令	帮派的重要物品	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	帮会令	掉落木头.obj	cj_yingguang_huang	0	ffffff
11990002	11	99	2	WXSJ_quest_zawu_1_3	白瓷瓶	白色的瓷装瓶，貌似里面什么都没有	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	帮会令	掉落木头.obj	cj_yingguang_huang	0	ffffff
11990003	11	99	3	caoyao_03	甘草	制药的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	任务宝物	掉落木头.obj	cj_yingguang_huang	0	ffffff
12010001	12	1	1	chujishengminghuifuyaoshui	止血粉	立即恢复血的药。	1	124	32450	3	10	403001	51	2	1	-1	4	0	掉落包	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010002	12	1	2	chujishengminghuifuyaoshui	凝血霜	立即恢复血的药。	2	290	32450	3	10	403002	51	2	2	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010003	12	1	3	chujishengminghuifuyaoshui	活血丸	立即恢复血的药。	3	352	32450	3	10	403003	51	2	3	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010004	12	1	4	chujishengminghuifuyaoshui	清血解毒片	立即恢复血的药。	4	432	32450	3	10	403004	51	2	4	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010005	12	1	5	chujishengminghuifuyaoshui	秘制金创药	立即恢复血的药。	5	542	32450	3	10	403005	51	2	5	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010006	12	1	6	chujishengminghuifuyaoshui	茜草止血剂	立即恢复血的药。	6	878	32450	3	10	403006	51	2	6	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010007	12	1	7	chujishengminghuifuyaoshui	当归补血散	立即恢复血的药。	7	1410	32450	3	10	403007	51	2	7	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010008	12	1	8	chujishengminghuifuyaoshui	九色续命粉	立即恢复血的药。	8	2184	32450	3	10	403008	51	2	8	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010009	12	1	9	chujishengminghuifuyaoshui	十香丸	立即恢复血的药。	9	3252	32450	3	10	403009	51	2	9	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12010010	12	1	10	chujishengminghuifuyaoshui	万宝丹	立即恢复血的药。	10	4668	32450	3	10	403010	51	2	10	-1	4	0	药品	掉落红药水_01.obj	cj_yingguang_huang	0	ffffff
12020001	12	2	1	chujizhenqihuifuyaoshui	七香玉露丸	立即恢复气的药。	1	124	32450	3	10	403101	51	2	1	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020002	12	2	2	chujizhenqihuifuyaoshui	九香玉露丸	立即恢复气的药。	2	290	32450	3	10	403102	51	2	2	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020003	12	2	3	chujizhenqihuifuyaoshui	黄芪凝神膏	立即恢复气的药。	3	352	32450	3	10	403103	51	2	3	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020004	12	2	4	chujizhenqihuifuyaoshui	五味凝神膏	立即恢复气的药。	4	432	32450	3	10	403104	51	2	4	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020005	12	2	5	chujizhenqihuifuyaoshui	百合固金汤	立即恢复气的药。	5	542	32450	3	10	403105	51	2	5	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020006	12	2	6	chujizhenqihuifuyaoshui	灵芝救命散	立即恢复气的药。	6	878	32450	3	10	403106	51	2	6	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020007	12	2	7	chujizhenqihuifuyaoshui	白参聚气丹	立即恢复气的药。	7	1410	32450	3	10	403107	51	2	7	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020008	12	2	8	chujizhenqihuifuyaoshui	雪域朱睛蟾	立即恢复气的药。	8	2184	32450	3	10	403108	51	2	8	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020009	12	2	9	chujizhenqihuifuyaoshui	千年野参汤	立即恢复气的药。	9	3252	32450	3	10	403109	51	2	9	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12020010	12	2	10	chujizhenqihuifuyaoshui	十全大补丸	立即恢复气的药。	10	4668	32450	3	10	403110	51	2	10	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12030001	12	3	1	xin_02	变身符1	使你变成一个蒙古兵。变身后不能攻击。	1	200	32450	3	10	404823	56	-1	-1	-1	4	0	杂物	掉落书卷.obj	cj_yingguang_huang	0	ffffff
12030002	12	3	2	xin_02	变身符3	使你变成一个蒙古兵。变身后不能攻击。	1	200	32450	3	10	404824	56	-1	-1	-1	4	0	杂物	掉落书卷.obj	cj_yingguang_huang	0	ffffff
12030003	12	3	3	xin_02	变身符4	使你变成一个蒙古兵。变身后不能攻击。	1	200	32450	3	10	404825	56	-1	-1	-1	4	0	杂物	掉落书卷.obj	cj_yingguang_huang	0	ffffff
12030004	12	3	4	xin_02	变身符5	使你变成一个蒙古兵。变身后不能攻击。	1	200	32450	3	10	404826	56	-1	-1	-1	4	0	杂物	掉落书卷.obj	cj_yingguang_huang	0	ffffff
12030005	12	3	5	xin_02	变身符6	使你变成一个蒙古兵。变身后不能攻击。	1	200	32450	3	10	404827	56	-1	-1	-1	4	0	杂物	掉落书卷.obj	cj_yingguang_huang	0	ffffff
#	配方																						
12040011	12	2	11	chujizhenqihuifuyaoshui	铸造配方	铸造配方。#r#c00FF00(可到商店卖钱换取补偿)	1	1	1	3	5	713501	55	-1	-1	-1	4	0	药品	掉落蓝药水_01.obj	cj_yingguang_huang	0	ffffff
12040012	12	2	12	chujizhenqihuifuyaoshui	不灭鞋制衣配方	不灭鞋制衣配方。#r#c00FF00(可到商店卖钱换取补偿)	1	1	1	3	5	713501	55	-1	-1	-1	4	0	药品	掉落蓝药水_02.obj	cj_yingguang_huang	0	ffffff
12040013	12	2	13	chujizhenqihuifuyaoshui	百花链工艺配方	百花链工艺配方	1	1	1	3	5	713501	55	-1	-1	-1	4	0	药品	掉落蓝药水_03.obj	cj_yingguang_huang	0	ffffff
12040014	12	2	14	chujizhenqihuifuyaoshui	烹饪粉皮配方	烹饪粉皮配方	1	1	1	3	5	713501	55	-1	-1	-1	4	0	药品	掉落蓝药水_04.obj	cj_yingguang_huang	0	ffffff
12040015	12	2	15	chujizhenqihuifuyaoshui	火龙丹药方	火龙丹药方	1	1	1	3	5	713501	55	-1	-1	-1	4	0	药品	掉落蓝药水_05.obj	cj_yingguang_huang	0	ffffff
12051000	12	5	1000	jiuyinzhenjing_01	马的1级悟性书	增加马悟性1点的丹药	1	200	200	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051001	12	5	1001	jiuyinzhenjing_01	马的2级悟性书	增加马悟性2点的丹药	1	300	1200	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051002	12	5	1002	jiuyinzhenjing_01	马的3级悟性书	增加马悟性3点的丹药	1	400	1600	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051003	12	5	1003	jiuyinzhenjing_01	马的4级悟性书	增加马悟性4点的丹药	1	500	2000	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051004	12	5	1004	jiuyinzhenjing_01	马的5级悟性书	增加马悟性5点的丹药	1	600	2400	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051005	12	5	1005	jiuyinzhenjing_01	马的6级悟性书	增加马悟性6点的丹药	1	700	2800	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051006	12	5	1006	jiuyinzhenjing_01	马的7级悟性书	增加马悟性7点的丹药	1	800	3200	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051007	12	5	1007	jiuyinzhenjing_01	马的8级悟性书	增加马悟性8点的丹药	1	900	3600	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051008	12	5	1008	jiuyinzhenjing_01	马的9级悟性书	增加马悟性9点的丹药	1	1000	4000	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
12051009	12	5	1009	jiuyinzhenjing_01	马的10级悟性书	增加马悟性10点的丹药	1	1100	4400	3	10	-1	-1	-1	-1	-1	4	4	坐骑	掉落谷物1.obj	cj_yingguang_huang	0	ffffff
