INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
15	10040204	火枪配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
16	10040205	火枪配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
17	10040206	火枪配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
18	10040207	火枪配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
19	10040208	火枪配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
20	10040209	火枪配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
21	10040210	火枪配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
22	10042201	近防火枪配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
23	10042202	近防火枪配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
24	10042203	近防火枪配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
25	10042204	近防火枪配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
26	10042205	近防火枪配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
27	10042206	近防火枪配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
28	10042207	近防火枪配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
29	10042208	近防火枪配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
30	10042209	近防火枪配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
31	10042210	近防火枪配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
32	10050201	杖配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
33	10050202	杖配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
34	10050203	杖配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
35	10050204	杖配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
36	10050205	杖配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
37	10050206	杖配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
38	10050207	杖配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
39	10050208	杖配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
40	10050209	杖配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
41	10050210	杖配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
42	10052201	近防杖配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
43	10052202	近防杖配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
44	10052203	近防杖配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
45	10052204	近防杖配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
46	10052205	近防杖配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
47	10052206	近防杖配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
48	10052207	近防杖配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
49	10052208	近防杖配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
50	10052209	近防杖配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
51	10052210	近防杖配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
52	10060201	槌配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
53	10060202	槌配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
54	10060203	槌配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
55	10060204	槌配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
56	10060205	槌配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
57	10060206	槌配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
58	10060207	槌配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
59	10060208	槌配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
60	10060209	槌配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
61	10060210	槌配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
62	10062201	近防槌配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
63	10062202	近防槌配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
64	10062203	近防槌配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
65	10062204	近防槌配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
66	10062205	近防槌配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
67	10062206	近防槌配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
68	10062207	近防槌配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
69	10062208	近防槌配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
70	10062209	近防槌配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
71	10062210	近防槌配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
72	10070201	盾配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
73	10070202	盾配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
74	10070203	盾配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
75	10070204	盾配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
76	10070205	盾配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
77	10070206	盾配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
78	10070207	盾配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
79	10070208	盾配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
80	10070209	盾配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
81	10070210	盾配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
82	10072201	近防盾配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
83	10072202	近防盾配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
84	10072203	近防盾配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
85	10072204	近防盾配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
86	10072205	近防盾配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
87	10072206	近防盾配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
88	10072207	近防盾配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
89	10072208	近防盾配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
90	10072209	近防盾配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
91	10072210	近防盾配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
92	10072301	远防盾配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
93	10072302	远防盾配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
94	10072303	远防盾配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
95	10072304	远防盾配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
96	10072305	远防盾配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
97	10072306	远防盾配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
98	10072307	远防盾配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
99	10072308	远防盾配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
100	10072309	远防盾配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
101	10072310	远防盾配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
102	10072401	魔防盾配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
103	10072402	魔防盾配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
104	10072403	魔防盾配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
105	10072404	魔防盾配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
106	10072405	魔防盾配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
107	10072406	魔防盾配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
108	10072407	魔防盾配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
109	10072408	魔防盾配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
110	10072409	魔防盾配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
111	10072410	魔防盾配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
112	10080201	副手剑配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
113	10080202	副手剑配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
114	10080203	副手剑配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
115	10080204	副手剑配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
116	10080205	副手剑配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
117	10080206	副手剑配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
118	10080207	副手剑配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
119	10080208	副手剑配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
120	10080209	副手剑配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
121	10080210	副手剑配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
122	10082201	近防副手剑配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
123	10082202	近防副手剑配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
124	10082203	近防副手剑配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
125	10082204	近防副手剑配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
126	10082205	近防副手剑配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
127	10082206	近防副手剑配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
128	10082207	近防副手剑配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
129	10082208	近防副手剑配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
130	10082209	近防副手剑配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
131	10082210	近防副手剑配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
132	10090201	箭配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
133	10090202	箭配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
134	10090203	箭配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
135	10090204	箭配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
136	10090205	箭配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
137	10090206	箭配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
138	10090207	箭配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
139	10090208	箭配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
140	10090209	箭配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
141	10090210	箭配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
142	10092201	近防箭配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
143	10092202	近防箭配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
144	10092203	近防箭配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
145	10092204	近防箭配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
146	10092205	近防箭配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
147	10092206	近防箭配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
148	10092207	近防箭配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
149	10092208	近防箭配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
