INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
9	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640	135	640
10	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760	147	760
11	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883	186	883
12	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012	198	1012
13	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150	210	1150
14	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300	223	1300
15	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465	236	1465
16	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648	251	1648
17	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852	268	1852
18	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080	286	2080
19	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335	305	2335
20	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620	327	2620
21	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938	425	2938
22	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292	457	3292
23	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685	488	3685
24	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120	521	4120
25	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600	557	4600
26	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128	596	5128
27	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707	637	5707
28	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340	681	6340
29	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030	728	7030
30	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780	778	7780
31	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593	1017	8593
32	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472	1084	9472
33	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420	1155	10420
34	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440	1229	11440
35	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535	1306	12535
36	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708	1387	13708
37	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962	1472	14962
38	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300	1559	16300
39	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725	1651	17725
40	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240	1745	19240
41	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848	2333	20848
42	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552	2461	22552
43	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355	2594	24355
44	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260	2731	26260
