INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING
22852	22852		1	WXSJ_skill_banggaibang_2_2			身体中心点			身体中心点	0	1	1	1				
22853	22853		1	WXSJ_skill_banggaibang_2_2			身体中心点			身体中心点	0	1	1	1				
22854	22854		1	WXSJ_skill_banggaibang_2_2			身体中心点			身体中心点	0	1	1	1				
22855	22855		1	WXSJ_skill_banggaibang_2_2			身体中心点			身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能319	########	22901---22950		########	########												
22901	22901		1	WXSJ_skill_banggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
22902	22902		1	WXSJ_skill_banggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
22903	22903		1	WXSJ_skill_banggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
22904	22904		1	WXSJ_skill_banggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
22905	22905		1	WXSJ_skill_banggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
22906	22906		1															
22907	22907		1															
22908	22908		1															
22909	22909		1															
22910	22910		1															
########	########	########	########	########	########	########												
																		
########	技能320	########	22951---23000		########	########												
22951	22951		1															
22952	22952		1															
22953	22953		1															
22954	22954		1															
22955	22955		1															
22956	22956		1															
22957	22957		1															
22958	22958		1															
22959	22959		1															
22960	22960		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	掌丐技能	23001---24000		########														
########	########	########	########	########														
																		
########	技能401	########	23001---23050		########	########												
23001	23001		1															
23002	23002		1															
23003	23003		1															
23004	23004		1															
23005	23005		1															
########	########	########	########	########	########	########												
																		
########	技能402	########	23051---23100		########	########												
23051	23051		1															
23052	23052		1															
23053	23053		1															
23054	23054		1															
23055	23055		1															
23056	23056		1															
23057	23057		1															
23058	23058		1															
23059	23059		1															
23060	23060		1															
########	########	########	########	########	########	########												
																		
########	技能403	########	23101---23150		########	########												
23101	23101		1	WXSJ_skill_zhanggaibang_1_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23102	23102		1	WXSJ_skill_zhanggaibang_1_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23103	23103		1	WXSJ_skill_zhanggaibang_1_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23104	23104		1	WXSJ_skill_zhanggaibang_1_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23105	23105		1	WXSJ_skill_zhanggaibang_1_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能404	########	23151---23200		########	########												
23151	23151		1															
23152	23152		1															
23153	23153		1															
23154	23154		1															
23155	23155		1															
########	########	########	########	########	########	########												
																		
########	技能405	########	23201---23250		########	########												
23201	23201		1	WXSJ_skill_zhanggaibang_1_5			身体中心点			身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能406	########	23251---23300		########	########												
23251	23251		1															
23252	23252		1															
23253	23253		1															
23254	23254		1															
23255	23255		1															
23256	23256		1															
23257	23257		1															
23258	23258		1															
23259	23259		1															
23260	23260		1															
########	########	########	########	########	########	########												
																		
########	技能407	########	23301---23350		########	########												
23301	23301		1	WXSJ_skill_zhanggaibang_1_7			身体中心点			身体中心点	0	1	1	1				
23302	23302		1	WXSJ_skill_zhanggaibang_1_7			身体中心点			身体中心点	0	1	1	1				
23303	23303		1	WXSJ_skill_zhanggaibang_1_7			身体中心点			身体中心点	0	1	1	1				
23304	23304		1	WXSJ_skill_zhanggaibang_1_7			身体中心点			身体中心点	0	1	1	1				
23305	23305		1	WXSJ_skill_zhanggaibang_1_7			身体中心点			身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能408	########	23351---23400		########	########												
23351	23351		1															
23352	23352		1															
23353	23353		1															
23354	23354		1															
23355	23355		1															
########	########	########	########	########	########	########												
																		
########	技能409	########	23401---23450		########	########												
23401	23401		1															
23402	23402		1															
23403	23403		1															
23404	23404		1															
23405	23405		1															
########	########	########	########	########	########	########												
																		
########	技能410	########	23451---23500		########	########												
23451	23451		1															
23452	23452		1															
23453	23453		1															
23454	23454		1															
23455	23455		1															
########	########	########	########	########	########	########												
																		
########	技能411	########	23501---23550		########	########												
23501	23501		1															
23502	23502		1															
23503	23503		1															
23504	23504		1															
23505	23505		1															
23506	23506		1															
23507	23507		1															
23508	23508		1															
23509	23509		1															
23510	23510		1															
23511	23511		1															
23512	23512		1															
23513	23513		1															
23514	23514		1															
23515	23515		1															
########	########	########	########	########	########	########												
																		
########	技能412	########	23551---23600		########	########												
23551	23551		1	WXSJ_skill_zhanggaibang_1_12			身体中心点	cyzt_dingshen_01		身体中心点	0	1	1	1				
23552	23552		1	WXSJ_skill_zhanggaibang_1_12			身体中心点	cyzt_dingshen_01		身体中心点	0	1	1	1				
23553	23553		1	WXSJ_skill_zhanggaibang_1_12			身体中心点	cyzt_dingshen_01		身体中心点	0	1	1	1				
23554	23554		1	WXSJ_skill_zhanggaibang_1_12			身体中心点	cyzt_dingshen_01		身体中心点	0	1	1	1				
23555	23555		1	WXSJ_skill_zhanggaibang_1_12			身体中心点	cyzt_dingshen_01		身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能413	########	23601---23650		########	########												
23601	23601		1	WXSJ_skill_zhanggaibang_1_13			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23602	23602		1	WXSJ_skill_zhanggaibang_1_13			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23603	23603		1	WXSJ_skill_zhanggaibang_1_13			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23604	23604		1	WXSJ_skill_zhanggaibang_1_13			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23605	23605		1	WXSJ_skill_zhanggaibang_1_13			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能414	########	23651---23700		########	########												
23651	23651		1	WXSJ_skill_zhanggaibang_1_14			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23652	23652		1	WXSJ_skill_zhanggaibang_1_14			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23653	23653		1	WXSJ_skill_zhanggaibang_1_14			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23654	23654		1	WXSJ_skill_zhanggaibang_1_14			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23655	23655		1	WXSJ_skill_zhanggaibang_1_14			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23656	23656		1															
23657	23657		1															
23658	23658		1															
23659	23659		1															
23660	23660		1															
########	########	########	########	########	########	########												
																		
########	技能415	########	23701---23750		########	########												
23701	23701		1															
23702	23702		1															
23703	23703		1															
23704	23704		1															
23705	23705		1															
########	########	########	########	########	########	########												
																		
########	技能416	########	23751---23800		########	########												
23751	23751		1															
23752	23752		1															
23753	23753		1															
23754	23754		1															
23755	23755		1															
########	########	########	########	########	########	########												
																		
########	技能417	########	23801---23850		########	########												
23801	23801		1	WXSJ_skill_zhanggaibang_2_1			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23802	23802		1	WXSJ_skill_zhanggaibang_2_1			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23803	23803		1	WXSJ_skill_zhanggaibang_2_1			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23804	23804		1	WXSJ_skill_zhanggaibang_2_1			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23805	23805		1	WXSJ_skill_zhanggaibang_2_1			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能418	########	23851---23900		########	########												
23851	23851		1	WXSJ_skill_zhanggaibang_2_2			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23852	23852		1															
23853	23853		1															
23854	23854		1															
23855	23855		1															
########	########	########	########	########	########	########												
																		
########	技能419	########	23901---23950		########	########												
23901	23901		1	WXSJ_skill_zhanggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23902	23902		1	WXSJ_skill_zhanggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23903	23903		1	WXSJ_skill_zhanggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23904	23904		1	WXSJ_skill_zhanggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
23905	23905		1	WXSJ_skill_zhanggaibang_2_3			身体中心点	zt_qitiantaodi_01		身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能420	########	23951---24000		########	########												
23951	23951		1															
23952	23952		1															
23953	23953		1															
23954	23954		1															
23955	23955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	剑武当技	24001---25000		########														
########	########	########	########	########														
																		
########	技能501	########	24001---24050		########	########												
24001	24001		1															
24002	24002		1															
24003	24003		1															
24004	24004		1															
24005	24005		1															
########	########	########	########	########	########	########												
																		
########	技能502	########	24051---24100		########	########												
24051	24051		1															
24052	24052		1															
24053	24053		1															
24054	24054		1															
24055	24055		1															
########	########	########	########	########	########	########												
																		
########	技能503	########	24101---24150		########	########												
24101	24101		1															
24102	24102		1															
24103	24103		1															
24104	24104		1															
24105	24105		1															
########	########	########	########	########	########	########												
																		
########	技能504	########	24151---24200		########	########												
24151	24151		1															
24152	24152		1															
24153	24153		1															
24154	24154		1															
24155	24155		1															
########	########	########	########	########	########	########												
																		
########	技能505	########	24201---24250		########	########												
24201	24201		1															
24202	24202		1															
24203	24203		1															
24204	24204		1															
24205	24205		1															
########	########	########	########	########	########	########												
																		
########	技能506	########	24251---24300		########	########												
24251	24251		1															
24252	24252		1															
24253	24253		1															
24254	24254		1															
24255	24255		1															
########	########	########	########	########	########	########												
																		
########	技能507	########	24301---24350		########	########												
24301	24301		1															
24302	24302		1															
24303	24303		1															
24304	24304		1															
24305	24305		1															
########	########	########	########	########	########	########												
																		
########	技能508	########	24351---24400		########	########												
24351	24351		1															
24352	24352		1															
24353	24353		1															
24354	24354		1															
24355	24355		1															
########	########	########	########	########	########	########												
																		
########	技能509	########	24401---24450		########	########												
24401	24401		1															
24402	24402		1															
24403	24403		1															
24404	24404		1															
24405	24405		1															
########	########	########	########	########	########	########												
																		
########	技能510	########	24451---24500		########	########												
24451	24451		1															
24452	24452		1															
24453	24453		1															
24454	24454		1															
24455	24455		1															
########	########	########	########	########	########	########												
																		
