INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT
11	花剌子模师爷	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2059	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
12	成吉思汗	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2054	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	c			
13	哲别	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
14	忽兰王妃	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2069	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
15	窝阔台	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2012	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	w			
16	术赤	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2013	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	s			
17	耶律楚材	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	y			
18	秃儿太后	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2070	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	t			
19	忽必来	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
20	花剌子模战旗	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
21	蒙古勇士	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2012	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
22	大汗护卫	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2013	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	d			
23	蒙古哨兵	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2014	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
24	马剌	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2025	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
25	郭靖	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	g			
26	明安	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2093	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
27	赤老温	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2094	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	c			
28	速不台	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2095	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	s			
29	油桐树	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	y			
30	粮仓	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	l			
31	花剌子模使者	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2062	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
32	铁木真	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2054	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	t			
33	博尔术	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2064	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
34	札木合	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2065	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
35	王汗	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2066	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	w			
36	女佣豁黑	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2069	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	n			
37	孛儿帖	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
38	诃额仑	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2070	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	e			
39	别勒古台	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
40	达拉皇后	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2069	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	d			
41	合答安	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2054	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
42	阿勒坛	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2055	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	a			
43	忽察儿	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
44	者勒蔑	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2059	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
45	木华黎	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2060	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
46	豁儿赤	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2061	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
47	阿勒坛的亲信	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2062	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	a			
48	铸剑使	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2004	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
49	老牧师	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2005	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	l			
50	木华花小姐	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2099	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
51	忽都虎	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2045	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
52	昔班	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2046	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	x			
53	合丹	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2047	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
54	拔都	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2055	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
55	蒙古西征军	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
56	朱家亮	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2033	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
57	白发老人	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2020	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
58	窝阔台	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2054	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	w			
59	金兵甲	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2063	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	j			
60	金兵乙	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2063	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	j			
61	帖古察	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	t			
62	成吉思汗	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	c			
63	忽兰公主	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2074	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
64	孛鲁	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
65	木华黎	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	m			
66	阔阔出	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	k			
67	王楫	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	w			
68	塔察儿	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	t			
69	崔立	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3026	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	c			
70	小孩	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2030	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	x			
71	小北	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2029	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	x			
72	长者	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2020	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
73	王员外	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2008	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	w			
74	百夫长	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2003	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
75	药店医生	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2002	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	y			
76	汗国使者	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2010	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
77	无名氏	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2018	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	d			
78	旗帜	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			3047	set:WXSJ_head_1 image:WXSJ_head_1_1	0	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	q			
