INT	STRING	INT	INT	INT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10		40	100	1	1	1	1	1	0	0	0	100000	60	11010001	1	1	11010002	1	1	11010003	1	1	11010004	1	1	11010005	1	1	11010006	1	1	11010007	1	1	11010008	1	1	11010009	1	1	11010010	1	1	11010011	1	1	11010012	1	1	11020001	1	1	11020002	1	1	11020003	1	1	11020004	1	1	11020005	1	1	11020006	1	1	11020007	1	1	11020008	1	1	11020009	1	1	11020010	1	1	11020011	1	1	11020012	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
11		40	100	1	1	1	1	1	0	0	0	100000	60	12051000	1	1	12051001	1	1	12051002	1	1	12051003	1	1	12051004	1	1	12051005	1	1	12051006	1	1	12051007	1	1	12051008	1	1	12051009	1	1	12052000	1	1	12052001	1	1	12052002	1	1	12052003	1	1	12052004	1	1	12052005	1	1	12052006	1	1	12052007	1	1	12052008	1	1	12052009	1	1	12053000	1	1	12053001	1	1	12053002	1	1	12053003	1	1	12053004	1	1	12053005	1	1	12053006	1	1	12053007	1	1	12053008	1	1	12053009	1	1	12054000	1	1	12054001	1	1	12054002	1	1	12054003	1	1	12054004	1	1	12054005	1	1	12054006	1	1	12054007	1	1	12054008	1	1	12054009	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
12		40	100	1	1	1	1	1	0	0	0	100000	60	12055000	1	1	12055001	1	1	12055002	1	1	12055003	1	1	12055004	1	1	12055005	1	1	12055006	1	1	12055007	1	1	12055008	1	1	12055009	1	1	12056000	1	1	12056001	1	1	12056002	1	1	12056003	1	1	12056004	1	1	12056005	1	1	12056006	1	1	12056007	1	1	12056008	1	1	12056009	1	1	12057000	1	1	12057001	1	1	12057002	1	1	12057003	1	1	12057004	1	1	12057005	1	1	12057006	1	1	12057007	1	1	12057008	1	1	12057009	1	1	12058000	1	1	12058001	1	1	12058002	1	1	12058003	1	1	12058004	1	1	12058005	1	1	12058006	1	1	12058007	1	1	12058008	1	1	12058009	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
13		40	100	1	1	1	1	1	0	0	0	100000	60	14000001	1	1	14000002	1	1	14000003	1	1	14000004	1	1	14000005	1	1	14000006	1	1	14000007	1	1	14000008	1	1	14000009	1	1	14000010	1	1	14000011	1	1	14000012	1	1	14000013	1	1	14000014	1	1	14000015	1	1	14000016	1	1	14000017	1	1	14000018	1	1	14000019	1	1	14000020	1	1	14000021	1	1	14000022	1	1	14000023	1	1	14000024	1	1	14000025	1	1	14000026	1	1	14000027	1	1	14000028	1	1	14000029	1	1	14000030	1	1	14000031	1	1	14000032	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
14		40	100	1	1	1	1	1	100	1	12007	0	10	1	1	1	2	1	1	3	1	1	4	1	1	5	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
15		40	100	1	1	1	1	1	100	1	0	60000	20	6	1	1	7	1	1	8	1	1	9	1	1	10	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
16		40	100	1	1	1	1	1	0	0	0	100000	60	12090001	1	1	12090002	1	1	12090003	1	1	12090004	1	1	12090005	1	1	12090006	1	1	12090007	1	1	12090008	1	1	12090009	1	1	12090010	1	1	12100001	1	1	12100002	1	1	12100003	1	1	12100004	1	1	12100005	1	1	12100006	1	1	12100007	1	1	12100008	1	1	12100009	1	1	12100010	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
17		40	100	1	1	1	1	1	0	0	0	100000	60	11000001	1	1	11000002	1	1	11000003	1	1	11000004	1	1	11000005	1	1	11000006	1	1	11000007	1	1	11010001	1	1	11010002	1	1	11010003	1	1	11010004	1	1	11010005	1	1	11010006	1	1	11010007	1	1	11010008	1	1	11010009	1	1	11010010	1	1	11010011	1	1	11010012	1	1	11020001	1	1	11020002	1	1	11020003	1	1	11020004	1	1	11020005	1	1	11020006	1	1	11020007	1	1	11020008	1	1	11020009	1	1	11020010	1	1	11020011	1	1	11020012	1	1	11030001	1	1	11040001	1	1	11050001	1	1	14000001	1	1	14000002	1	1	18060001	1	1	18070001	1	1	11970001	1	1	11970001	1	1	11970011	1	1	11970021	1	1	10011001	1	1	10011002	1	1	10011003	1	1	10031001	1	1	10031002	1	1	10031003	1	1	10031004	1	1	10031005	1	1	10031006	1	1	10091001	1	1	10091002	1	1	10091003	1	1	10131001	1	1	10131002	1	1	10131003	1	1	11990002	1	1	11990003	1	1	11960011	1	1
####以下是	武士武器商店（主副手）																																																																																																																																																																																																
100	武器测试，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10011001	1	-1	10011002	1	-1	10011003	1	-1	10031001	1	-1	10031002	1	-1	10031003	1	-1	10031004	1	-1	10031005	1	-1	10031006	1	-1	10051001	1	-1	10051002	1	-1	10051003	1	-1	10071001	1	-1	10071002	1	-1	10071003	1	-1	10071004	1	-1	10091001	1	-1	10091002	1	-1	10091003	1	-1	10111001	1	-1	10111002	1	1	10111003	1	1	10131001	1	1	10131002	1	1	10131003	1	1	10151001	1	1	10151002	1	1	10151003	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	剑侠武器商店（主副手）																																																																																																																																																																																																
150	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10021101	1	-1	10021102	1	-1	10021103	1	-1	10021104	1	-1	10021105	1	-1	10021106	1	-1	10021107	1	-1	10021108	1	-1	10021109	1	-1	10021110	1	-1	10081101	1	-1	10081102	1	-1	10081103	1	-1	10081104	1	-1	10081105	1	-1	10081106	1	-1	10081107	1	-1	10081108	1	-1	10081109	1	-1	10081110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	骑射武器商店（主副手）																																																																																																																																																																																																
200	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10031101	1	-1	10031102	1	-1	10031103	1	-1	10031104	1	-1	10031105	1	-1	10031106	1	-1	10031107	1	-1	10031108	1	-1	10031109	1	-1	10031110	1	-1	10091101	1	-1	10091102	1	-1	10091103	1	-1	10091104	1	-1	10091105	1	-1	10091106	1	-1	10091107	1	-1	10091108	1	-1	10091109	1	-1	10091110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	火枪武器商店（主副手）																																																																																																																																																																																																
250	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10041101	1	-1	10041102	1	-1	10041103	1	-1	10041104	1	-1	10041105	1	-1	10041106	1	-1	10041107	1	-1	10041108	1	-1	10041109	1	-1	10041110	1	-1	10101101	1	-1	10101102	1	-1	10101103	1	-1	10101104	1	-1	10101105	1	-1	10101106	1	-1	10101107	1	-1	10101108	1	-1	10101109	1	-1	10101110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	先知武器商店（主副手）																																																																																																																																																																																																
300	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10051101	1	-1	10051102	1	-1	10051103	1	-1	10051104	1	-1	10051105	1	-1	10051106	1	-1	10051107	1	-1	10051108	1	-1	10051109	1	-1	10051110	1	-1	10111101	1	-1	10111102	1	-1	10111103	1	-1	10111104	1	-1	10111105	1	-1	10111106	1	-1	10111107	1	-1	10111108	1	-1	10111109	1	-1	10111110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	萨满武器商店（主副手）																																																																																																																																																																																																
350	大都，10-100白装	40	100	1	1	1	1	1	0	0	0	100000	60	10061101	1	-1	10061102	1	-1	10061103	1	-1	10061104	1	-1	10061105	1	-1	10061106	1	-1	10061107	1	-1	10061108	1	-1	10061109	1	-1	10061110	1	-1	10121101	1	-1	10121102	1	-1	10121103	1	-1	10121104	1	-1	10121105	1	-1	10121106	1	-1	10121107	1	-1	10121108	1	-1	10121109	1	-1	10121110	1	-1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
####以下是	帽子商店																																																																																																																																																																																																
