INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
29	力量+生命值+爆击	222	50	0	22	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	敏捷+生命值+爆击	222	50	2	22	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	体质+远程攻击+爆击	222	50	6	14	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	体质+魔法攻击+爆击	222	50	6	10	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	智力+生命值+爆击	222	50	4	22	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	近程攻击+近程防御+爆击	222	50	12	18	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	远程攻击+远程防御+爆击	222	50	14	20	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	魔法攻击+魔法防御+爆击	222	50	10	16	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	体质+近程攻击+韧性	222	50	6	12	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	力量+生命值+韧性	222	50	0	22	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	敏捷+生命值+韧性	222	50	2	22	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	体质+远程攻击+韧性	222	50	6	14	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	体质+魔法攻击+韧性	222	50	6	10	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	智力+生命值+韧性	222	50	4	22	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	近程攻击+近程防御+韧性	222	50	12	18	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	远程攻击+远程防御+韧性	222	50	14	20	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	魔法攻击+魔法防御+韧性	222	50	10	16	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
