INT	FLOAT	FLOAT	FLOAT	FLOAT
-45	0.3	0.3	0.3	0.3
-44	0.32	0.32	0.32	0.32
-43	0.34	0.34	0.34	0.34
-42	0.36	0.36	0.36	0.36
-41	0.38	0.38	0.38	0.38
-40	0.4	0.4	0.4	0.4
-39	0.42	0.42	0.42	0.42
-38	0.44	0.44	0.44	0.44
-37	0.46	0.46	0.46	0.46
-36	0.48	0.48	0.48	0.48
-35	0.5	0.5	0.5	0.5
-34	0.52	0.52	0.52	0.52
-33	0.54	0.54	0.54	0.54
-32	0.56	0.56	0.56	0.56
-31	0.58	0.58	0.58	0.58
-30	0.6	0.6	0.6	0.6
-29	0.62	0.62	0.62	0.62
-28	0.64	0.64	0.64	0.64
-27	0.66	0.66	0.66	0.66
-26	0.68	0.68	0.68	0.68
-25	0.7	0.7	0.7	0.7
-24	0.72	0.72	0.72	0.72
-23	0.74	0.74	0.74	0.74
-22	0.76	0.76	0.76	0.76
-21	0.78	0.78	0.78	0.78
-20	0.8	0.8	0.8	0.8
-19	0.82	0.82	0.82	0.82
-18	0.84	0.84	0.84	0.84
-17	0.86	0.86	0.86	0.86
-16	0.88	0.88	0.88	0.88
-15	0.9	0.9	0.9	0.9
-14	0.918	0.918	0.918	0.918
-13	0.934	0.934	0.934	0.934
-12	0.948	0.948	0.948	0.948
-11	0.96	0.96	0.96	0.96
-10	0.972	0.972	0.972	0.972
-9	0.98	0.98	0.98	0.98
-8	0.987	0.987	0.987	0.987
-7	0.993	0.993	0.993	0.993
-6	0.997	0.997	0.997	0.997
-5	0.999	0.999	0.999	0.999
-4	1	1	1	1
-3	1	1	1	1
-2	1	1	1	1
-1	1	1	1	1
0	1	1	1	1
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	0.999	0.999	0.999	0.999
6	0.998	0.998	0.998	0.998
7	0.996	0.996	0.996	0.996
8	0.993	0.993	0.993	0.993
9	0.989	0.989	0.989	0.989
10	0.984	0.984	0.984	0.984
11	0.979	0.979	0.979	0.979
12	0.973	0.973	0.973	0.973
13	0.966	0.966	0.966	0.966
14	0.958	0.958	0.958	0.958
15	0.95	0.95	0.95	0.95
16	0.94	0.94	0.94	0.94
17	0.93	0.93	0.93	0.93
18	0.92	0.92	0.92	0.92
19	0.91	0.91	0.91	0.91
20	0.9	0.9	0.9	0.9
21	0.89	0.89	0.89	0.89
22	0.88	0.88	0.88	0.88
23	0.87	0.87	0.87	0.87
24	0.86	0.86	0.86	0.86
25	0.85	0.85	0.85	0.85
26	0.84	0.84	0.84	0.84
27	0.83	0.83	0.83	0.83
28	0.82	0.82	0.82	0.82
29	0.81	0.81	0.81	0.81
30	0.8	0.8	0.8	0.8
31	0.79	0.79	0.79	0.79
32	0.78	0.78	0.78	0.78
33	0.77	0.77	0.77	0.77
34	0.76	0.76	0.76	0.76
35	0.75	0.75	0.75	0.75
36	0.74	0.74	0.74	0.74
37	0.73	0.73	0.73	0.73
38	0.72	0.72	0.72	0.72
39	0.71	0.71	0.71	0.71
40	0.7	0.7	0.7	0.7
41	0.69	0.69	0.69	0.69
42	0.68	0.68	0.68	0.68
43	0.67	0.67	0.67	0.67
44	0.66	0.66	0.66	0.66
45	0.65	0.65	0.65	0.65
46	0.64	0.64	0.64	0.64
47	0.63	0.63	0.63	0.63
48	0.62	0.62	0.62	0.62
49	0.61	0.61	0.61	0.61
50	0.6	0.6	0.6	0.6
51	0.59	0.59	0.59	0.59
52	0.58	0.58	0.58	0.58
53	0.57	0.57	0.57	0.57
54	0.56	0.56	0.56	0.56
55	0.55	0.55	0.55	0.55
56	0.54	0.54	0.54	0.54
57	0.53	0.53	0.53	0.53
58	0.52	0.52	0.52	0.52
59	0.51	0.51	0.51	0.51
60	0.5	0.5	0.5	0.5
61	0.49	0.49	0.49	0.49
62	0.48	0.48	0.48	0.48
63	0.47	0.47	0.47	0.47
64	0.46	0.46	0.46	0.46
65	0.45	0.45	0.45	0.45
66	0.44	0.44	0.44	0.44
67	0.43	0.43	0.43	0.43
68	0.42	0.42	0.42	0.42
69	0.41	0.41	0.41	0.41
70	0.4	0.4	0.4	0.4
71	0.391	0.391	0.391	0.391
72	0.382	0.382	0.382	0.382
73	0.373	0.373	0.373	0.373
74	0.365	0.365	0.365	0.365
75	0.357	0.357	0.357	0.357
76	0.349	0.349	0.349	0.349
77	0.342	0.342	0.342	0.342
78	0.335	0.335	0.335	0.335
79	0.328	0.328	0.328	0.328
80	0.322	0.322	0.322	0.322
81	0.316	0.316	0.316	0.316
82	0.31	0.31	0.31	0.31
83	0.305	0.305	0.305	0.305
84	0.301	0.301	0.301	0.301
85	0.3	0.3	0.3	0.3
86	0.3	0.3	0.3	0.3
87	0.3	0.3	0.3	0.3
88	0.3	0.3	0.3	0.3
89	0.3	0.3	0.3	0.3
90	0.3	0.3	0.3	0.3
91	0.3	0.3	0.3	0.3
92	0.3	0.3	0.3	0.3
93	0.3	0.3	0.3	0.3
94	0.3	0.3	0.3	0.3
95	0.3	0.3	0.3	0.3
96	0.3	0.3	0.3	0.3
97	0.3	0.3	0.3	0.3
98	0.3	0.3	0.3	0.3
99	0.3	0.3	0.3	0.3
100	0.3	0.3	0.3	0.3
101	0.3	0.3	0.3	0.3
102	0.3	0.3	0.3	0.3
103	0.3	0.3	0.3	0.3
104	0.3	0.3	0.3	0.3
105	0.3	0.3	0.3	0.3
