INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT																																																																
宠物index	宠物名称	冰精（特性，食冰与畏火）	火灵（特性，食火与畏冰）	毒蛊（特性，食毒与畏玄）	玄兽（特性，食玄与畏毒）	迟钝（特性，增强自身血上限，但命中和闪避削弱）	狡猾（特性，增强自身命中、闪避，但防御（外/内）被削弱）	憨厚（特性，增强自身防御（外/内），削弱自身会心）	拼命（特性，增强宠物的会心，但血上限被削弱）	法魂（增强自身内攻，削弱自身外功）	蛮力（增强自身外功，削弱自身内攻）	借力（增强主人的力量）	高级借力（增强主人的力量）	移魂（增强主人的定力）	高级移魂（增强主人的定力）	加速（增强主人的身法）	高级加速（增强主人的身法）	强身（增强主人的体力）	高级强身（增强主人的体力）	凝神（增强主人的灵气）	高级凝神（增强主人的灵气）	极冰凝杀（手动冰系群杀）	劫火焚杀（手动火系群杀）	腐毒蚀杀（手动毒系群杀）	玄雷击杀（手动雷系群杀）	血爆（手动，范围攻击）	高级血爆（手动，范围攻击）	圣爆（手动，范围加血）	高级圣爆（手动，范围加血）	冰爆（手动，范围冰封）	高级冰爆（手动，范围冰封）	净化（手动，净化主人身上一个不良BUFF)	高级净化（手动，净化主人身上一个不良BUFF)	重生（手动，使宠物死后复活）	高级重生（手动，使宠物死后复活）	共生（手动，让宠匀血给主人）	高级共生（手动，让宠匀血给主人	治疗（手动，治疗主人）	高级治疗（手动，治疗主人）	肉墙（手动，一定时间内宠物为主人承受伤害）	高级肉墙（手动，一定时间内宠物为主人承受伤害）	神佑（手动，宠物令主人进入无敌状态）	高级神佑（手动，宠物令主人进入无敌状态）	嗜血（手动，宠物进入嗜血状态）	高级嗜血（手动，宠物进入嗜血状态）	血祭（手动，用宠物的HP换取主人MP）	高级血祭（手动，用宠物的HP换取主人MP）	伪装(手动，令宠物进入无敌状态)	高级伪装(手动，令宠物进入无敌状态)	附身（手动，令宠物控制一个敌人）	高级附身（手动，令宠物控制一个敌人）	寒冰咒（单体法攻）	烈火咒（单体法攻）	血毒咒（单体法攻）	玄雷咒（单体法攻）	反击（一定几率反击敌人）	高级反击（一定几率反击敌人）	吸血（吸取生命）	高级吸血（吸取生命）	反震（自动报复）	高级反震（自动报复）	灵动（一定几率减少伤害）	高级灵动（一定几率减少伤害）	吸气（一定几率吸取对方内力）	高级吸气（一定几率吸取对方内力）	打怒（一定几率打消对手怒气）	高级打怒（一定几率打消对手怒气）	忠心（一定几率替主人承受必杀伤害）	高级忠心（一定几率替主人承受必杀伤害）	灵气（一定几率替主人承受不良BUFF)	高级灵气（一定几率替主人承受不良BUFF)	猛击（加强物攻技能）	高级猛击（加强物攻技能）	识破（加强主人识破隐身的能力）	高级识破（加强主人识破隐身的能力）
3031	变异狗	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3039	狗宝宝	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3040	山羊	0	20852	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3041	变异山羊	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3049	山羊宝宝	0	20852	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3050	鸭子	0	20852	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3051	变异鸭子	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3059	鸭子宝宝	0	20852	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3060	猪	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3061	变异猪	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3062	变异猪	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0
3069	猪宝宝	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3070	鹅	0	0	0	20852	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3071	变异鹅	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3072	变异鹅	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3079	鹅宝宝	0	0	0	20852	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3080	毛驴	0	0	0	0	0	0	0	0	0	20852	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3081	变异毛驴	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3082	变异毛驴	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3089	毛驴宝宝	0	0	0	0	0	0	0	0	0	20852	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3090	青蛙	0	0	0	0	0	0	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3091	变异青蛙	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3092	变异青蛙	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3099	青蛙宝宝	0	0	0	0	0	0	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	14409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3100	猴子	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3101	变异猴子	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3102	变异猴子	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3109	猴子宝宝	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0
3110	龟	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0
3111	变异龟	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0
3112	变异龟	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0
3119	龟宝宝	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0
3120	蝙蝠	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3121	变异蝙蝠	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3122	变异蝙蝠	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3129	蝙蝠宝宝	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3130	松鼠	0	23037	0	0	0	0	0	0	23037	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3131	变异松鼠	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3132	变异松鼠	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0		0	23037	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0
3133	变异松鼠	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	18685	0	0	0	0	0	0	0	0	0	0
3139	松鼠宝宝	0	23037	0	0	0	0	0	0	23037	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3140	蜥蜴	0	0	23037	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0
3141	变异蜥蜴	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0
3142	变异蜥蜴	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0
3143	变异蜥蜴	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	18685	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3149	蜥蜴宝宝	0	0	23037	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0
3150	燕子	23037	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3151	变异燕子	0	0	23037	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3152	变异燕子	0	0	23037	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0
3153	变异燕子	0	0	0	0	0	0	0	0	23037	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0
3159	燕子宝宝	23037	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3160	刺猬	0	23037	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3161	变异刺猬	0	0	23037	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3162	变异刺猬	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3163	变异刺猬	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3169	刺猬宝宝	0	23037	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3170	浣熊	23037	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0
3171	变异浣熊	23037	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0
3172	变异浣熊	0	0	0	23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23037	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	0	0	0	0	0	0	0	0	0	0
