INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
26	59	52	0	0	0	0	89	0	22	0	112	0	0	0	0	112	0	0	0	0	0	112	0	0	0	0	52	59	0	0	59	0	0	52	0	0	0	59	52	0	37	0	74	0	0	0	0	0	112	0	59	0	0	52	0	0	0	89	22	0	52	0	59	0	0	0	0	74	37	0	37	0	0	74	0	0	52	59	0	0	28	28	28	28	0
27	61	54	0	0	0	0	92	0	23	0	116	0	0	0	0	116	0	0	0	0	0	116	0	0	0	0	54	61	0	0	61	0	0	54	0	0	0	61	54	0	38	0	77	0	0	0	0	0	116	0	61	0	0	54	0	0	0	92	23	0	54	0	61	0	0	0	0	77	38	0	38	0	0	77	0	0	54	61	0	0	29	29	29	29	0
28	64	56	0	0	0	0	96	0	24	0	120	0	0	0	0	120	0	0	0	0	0	120	0	0	0	0	56	64	0	0	64	0	0	56	0	0	0	64	56	0	40	0	80	0	0	0	0	0	120	0	64	0	0	56	0	0	0	96	24	0	56	0	64	0	0	0	0	80	40	0	40	0	0	80	0	0	56	64	0	0	30	30	30	30	0
29	66	57	0	0	0	0	99	0	24	0	124	0	0	0	0	124	0	0	0	0	0	124	0	0	0	0	57	66	0	0	66	0	0	57	0	0	0	66	57	0	41	0	82	0	0	0	0	0	124	0	66	0	0	57	0	0	0	99	24	0	57	0	66	0	0	0	0	82	41	0	41	0	0	82	0	0	57	66	0	0	31	31	31	31	0
30	68	59	0	0	0	0	102	0	25	0	128	0	0	0	0	128	0	0	0	0	0	128	0	0	0	0	59	68	0	0	68	0	0	59	0	0	0	68	59	0	42	0	85	0	0	0	0	0	128	0	68	0	0	59	0	0	0	102	25	0	59	0	68	0	0	0	0	85	42	0	42	0	0	85	0	0	59	68	0	0	32	32	32	32	0
31	70	61	0	0	0	0	105	0	26	0	132	0	0	0	0	132	0	0	0	0	0	132	0	0	0	0	61	70	0	0	70	0	0	61	0	0	0	70	61	0	44	0	88	0	0	0	0	0	132	0	70	0	0	61	0	0	0	105	26	0	61	0	70	0	0	0	0	88	44	0	44	0	0	88	0	0	61	70	0	0	33	33	33	33	0
32	72	63	0	0	0	0	108	0	27	0	136	0	0	0	0	136	0	0	0	0	0	136	0	0	0	0	63	72	0	0	72	0	0	63	0	0	0	72	63	0	45	0	90	0	0	0	0	0	136	0	72	0	0	63	0	0	0	108	27	0	63	0	72	0	0	0	0	90	45	0	45	0	0	90	0	0	63	72	0	0	34	34	34	34	0
33	74	65	0	0	0	0	112	0	28	0	140	0	0	0	0	140	0	0	0	0	0	140	0	0	0	0	65	74	0	0	74	0	0	65	0	0	0	74	65	0	46	0	93	0	0	0	0	0	140	0	74	0	0	65	0	0	0	112	28	0	65	0	74	0	0	0	0	93	46	0	46	0	0	93	0	0	65	74	0	0	35	35	35	35	0
34	76	67	0	0	0	0	115	0	28	0	144	0	0	0	0	144	0	0	0	0	0	144	0	0	0	0	67	76	0	0	76	0	0	67	0	0	0	76	67	0	48	0	96	0	0	0	0	0	144	0	76	0	0	67	0	0	0	115	28	0	67	0	76	0	0	0	0	96	48	0	48	0	0	96	0	0	67	76	0	0	36	36	36	36	0
35	78	69	0	0	0	0	118	0	29	0	148	0	0	0	0	148	0	0	0	0	0	148	0	0	0	0	69	78	0	0	78	0	0	69	0	0	0	78	69	0	49	0	98	0	0	0	0	0	148	0	78	0	0	69	0	0	0	118	29	0	69	0	78	0	0	0	0	98	49	0	49	0	0	98	0	0	69	78	0	0	37	37	37	37	0
36	81	70	0	0	0	0	121	0	30	0	152	0	0	0	0	152	0	0	0	0	0	152	0	0	0	0	70	81	0	0	81	0	0	70	0	0	0	81	70	0	50	0	101	0	0	0	0	0	152	0	81	0	0	70	0	0	0	121	30	0	70	0	81	0	0	0	0	101	50	0	50	0	0	101	0	0	70	81	0	0	38	38	38	38	0
37	83	72	0	0	0	0	124	0	31	0	156	0	0	0	0	156	0	0	0	0	0	156	0	0	0	0	72	83	0	0	83	0	0	72	0	0	0	83	72	0	52	0	104	0	0	0	0	0	156	0	83	0	0	72	0	0	0	124	31	0	72	0	83	0	0	0	0	104	52	0	52	0	0	104	0	0	72	83	0	0	39	39	39	39	0
38	85	74	0	0	0	0	128	0	32	0	160	0	0	0	0	160	0	0	0	0	0	160	0	0	0	0	74	85	0	0	85	0	0	74	0	0	0	85	74	0	53	0	106	0	0	0	0	0	160	0	85	0	0	74	0	0	0	128	32	0	74	0	85	0	0	0	0	106	53	0	53	0	0	106	0	0	74	85	0	0	40	40	40	40	0
39	87	76	0	0	0	0	131	0	32	0	164	0	0	0	0	164	0	0	0	0	0	164	0	0	0	0	76	87	0	0	87	0	0	76	0	0	0	87	76	0	54	0	109	0	0	0	0	0	164	0	87	0	0	76	0	0	0	131	32	0	76	0	87	0	0	0	0	109	54	0	54	0	0	109	0	0	76	87	0	0	41	41	41	41	0
40	89	78	0	0	0	0	134	0	33	0	168	0	0	0	0	168	0	0	0	0	0	168	0	0	0	0	78	89	0	0	89	0	0	78	0	0	0	89	78	0	56	0	112	0	0	0	0	0	168	0	89	0	0	78	0	0	0	134	33	0	78	0	89	0	0	0	0	112	56	0	56	0	0	112	0	0	78	89	0	0	42	42	42	42	0
41	91	80	0	0	0	0	137	0	34	0	172	0	0	0	0	172	0	0	0	0	0	172	0	0	0	0	80	91	0	0	91	0	0	80	0	0	0	91	80	0	57	0	114	0	0	0	0	0	172	0	91	0	0	80	0	0	0	137	34	0	80	0	91	0	0	0	0	114	57	0	57	0	0	114	0	0	80	91	0	0	43	43	43	43	0
42	93	82	0	0	0	0	140	0	35	0	176	0	0	0	0	176	0	0	0	0	0	176	0	0	0	0	82	93	0	0	93	0	0	82	0	0	0	93	82	0	58	0	117	0	0	0	0	0	176	0	93	0	0	82	0	0	0	140	35	0	82	0	93	0	0	0	0	117	58	0	58	0	0	117	0	0	82	93	0	0	44	44	44	44	0
43	96	84	0	0	0	0	144	0	36	0	180	0	0	0	0	180	0	0	0	0	0	180	0	0	0	0	84	96	0	0	96	0	0	84	0	0	0	96	84	0	60	0	120	0	0	0	0	0	180	0	96	0	0	84	0	0	0	144	36	0	84	0	96	0	0	0	0	120	60	0	60	0	0	120	0	0	84	96	0	0	45	45	45	45	0
44	98	85	0	0	0	0	147	0	36	0	184	0	0	0	0	184	0	0	0	0	0	184	0	0	0	0	85	98	0	0	98	0	0	85	0	0	0	98	85	0	61	0	122	0	0	0	0	0	184	0	98	0	0	85	0	0	0	147	36	0	85	0	98	0	0	0	0	122	61	0	61	0	0	122	0	0	85	98	0	0	46	46	46	46	0
45	100	87	0	0	0	0	150	0	37	0	188	0	0	0	0	188	0	0	0	0	0	188	0	0	0	0	87	100	0	0	100	0	0	87	0	0	0	100	87	0	62	0	125	0	0	0	0	0	188	0	100	0	0	87	0	0	0	150	37	0	87	0	100	0	0	0	0	125	62	0	62	0	0	125	0	0	87	100	0	0	47	47	47	47	0
46	102	89	0	0	0	0	153	0	38	0	192	0	0	0	0	192	0	0	0	0	0	192	0	0	0	0	89	102	0	0	102	0	0	89	0	0	0	102	89	0	64	0	128	0	0	0	0	0	192	0	102	0	0	89	0	0	0	153	38	0	89	0	102	0	0	0	0	128	64	0	64	0	0	128	0	0	89	102	0	0	48	48	48	48	0
47	104	91	0	0	0	0	156	0	39	0	196	0	0	0	0	196	0	0	0	0	0	196	0	0	0	0	91	104	0	0	104	0	0	91	0	0	0	104	91	0	65	0	130	0	0	0	0	0	196	0	104	0	0	91	0	0	0	156	39	0	91	0	104	0	0	0	0	130	65	0	65	0	0	130	0	0	91	104	0	0	49	49	49	49	0
48	106	93	0	0	0	0	160	0	40	0	200	0	0	0	0	200	0	0	0	0	0	200	0	0	0	0	93	106	0	0	106	0	0	93	0	0	0	106	93	0	66	0	133	0	0	0	0	0	200	0	106	0	0	93	0	0	0	160	40	0	93	0	106	0	0	0	0	133	66	0	66	0	0	133	0	0	93	106	0	0	50	50	50	50	0
49	108	95	0	0	0	0	163	0	40	0	204	0	0	0	0	204	0	0	0	0	0	204	0	0	0	0	95	108	0	0	108	0	0	95	0	0	0	108	95	0	68	0	136	0	0	0	0	0	204	0	108	0	0	95	0	0	0	163	40	0	95	0	108	0	0	0	0	136	68	0	68	0	0	136	0	0	95	108	0	0	51	51	51	51	0
50	110	97	0	0	0	0	166	0	41	0	208	0	0	0	0	208	0	0	0	0	0	208	0	0	0	0	97	110	0	0	110	0	0	97	0	0	0	110	97	0	69	0	138	0	0	0	0	0	208	0	110	0	0	97	0	0	0	166	41	0	97	0	110	0	0	0	0	138	69	0	69	0	0	138	0	0	97	110	0	0	52	52	52	52	0
51	113	98	0	0	0	0	169	0	42	0	212	0	0	0	0	212	0	0	0	0	0	212	0	0	0	0	98	113	0	0	113	0	0	98	0	0	0	113	98	0	70	0	141	0	0	0	0	0	212	0	113	0	0	98	0	0	0	169	42	0	98	0	113	0	0	0	0	141	70	0	70	0	0	141	0	0	98	113	0	0	53	53	53	53	0
52	115	100	0	0	0	0	172	0	43	0	216	0	0	0	0	216	0	0	0	0	0	216	0	0	0	0	100	115	0	0	115	0	0	100	0	0	0	115	100	0	72	0	144	0	0	0	0	0	216	0	115	0	0	100	0	0	0	172	43	0	100	0	115	0	0	0	0	144	72	0	72	0	0	144	0	0	100	115	0	0	54	54	54	54	0
53	117	102	0	0	0	0	176	0	44	0	220	0	0	0	0	220	0	0	0	0	0	220	0	0	0	0	102	117	0	0	117	0	0	102	0	0	0	117	102	0	73	0	146	0	0	0	0	0	220	0	117	0	0	102	0	0	0	176	44	0	102	0	117	0	0	0	0	146	73	0	73	0	0	146	0	0	102	117	0	0	55	55	55	55	0
54	119	104	0	0	0	0	179	0	44	0	224	0	0	0	0	224	0	0	0	0	0	224	0	0	0	0	104	119	0	0	119	0	0	104	0	0	0	119	104	0	74	0	149	0	0	0	0	0	224	0	119	0	0	104	0	0	0	179	44	0	104	0	119	0	0	0	0	149	74	0	74	0	0	149	0	0	104	119	0	0	56	56	56	56	0
55	121	106	0	0	0	0	182	0	45	0	228	0	0	0	0	228	0	0	0	0	0	228	0	0	0	0	106	121	0	0	121	0	0	106	0	0	0	121	106	0	76	0	152	0	0	0	0	0	228	0	121	0	0	106	0	0	0	182	45	0	106	0	121	0	0	0	0	152	76	0	76	0	0	152	0	0	106	121	0	0	57	57	57	57	0
56	123	108	0	0	0	0	185	0	46	0	232	0	0	0	0	232	0	0	0	0	0	232	0	0	0	0	108	123	0	0	123	0	0	108	0	0	0	123	108	0	77	0	154	0	0	0	0	0	232	0	123	0	0	108	0	0	0	185	46	0	108	0	123	0	0	0	0	154	77	0	77	0	0	154	0	0	108	123	0	0	58	58	58	58	0
57	125	110	0	0	0	0	188	0	47	0	236	0	0	0	0	236	0	0	0	0	0	236	0	0	0	0	110	125	0	0	125	0	0	110	0	0	0	125	110	0	78	0	157	0	0	0	0	0	236	0	125	0	0	110	0	0	0	188	47	0	110	0	125	0	0	0	0	157	78	0	78	0	0	157	0	0	110	125	0	0	59	59	59	59	0
58	128	112	0	0	0	0	192	0	48	0	240	0	0	0	0	240	0	0	0	0	0	240	0	0	0	0	112	128	0	0	128	0	0	112	0	0	0	128	112	0	80	0	160	0	0	0	0	0	240	0	128	0	0	112	0	0	0	192	48	0	112	0	128	0	0	0	0	160	80	0	80	0	0	160	0	0	112	128	0	0	60	60	60	60	0
59	130	113	0	0	0	0	195	0	48	0	244	0	0	0	0	244	0	0	0	0	0	244	0	0	0	0	113	130	0	0	130	0	0	113	0	0	0	130	113	0	81	0	162	0	0	0	0	0	244	0	130	0	0	113	0	0	0	195	48	0	113	0	130	0	0	0	0	162	81	0	81	0	0	162	0	0	113	130	0	0	61	61	61	61	0
60	132	115	0	0	0	0	198	0	49	0	248	0	0	0	0	248	0	0	0	0	0	248	0	0	0	0	115	132	0	0	132	0	0	115	0	0	0	132	115	0	82	0	165	0	0	0	0	0	248	0	132	0	0	115	0	0	0	198	49	0	115	0	132	0	0	0	0	165	82	0	82	0	0	165	0	0	115	132	0	0	62	62	62	62	0
61	134	117	0	0	0	0	201	0	50	0	252	0	0	0	0	252	0	0	0	0	0	252	0	0	0	0	117	134	0	0	134	0	0	117	0	0	0	134	117	0	84	0	168	0	0	0	0	0	252	0	134	0	0	117	0	0	0	201	50	0	117	0	134	0	0	0	0	168	84	0	84	0	0	168	0	0	117	134	0	0	63	63	63	63	0
62	136	119	0	0	0	0	204	0	51	0	256	0	0	0	0	256	0	0	0	0	0	256	0	0	0	0	119	136	0	0	136	0	0	119	0	0	0	136	119	0	85	0	170	0	0	0	0	0	256	0	136	0	0	119	0	0	0	204	51	0	119	0	136	0	0	0	0	170	85	0	85	0	0	170	0	0	119	136	0	0	64	64	64	64	0
63	138	121	0	0	0	0	208	0	52	0	260	0	0	0	0	260	0	0	0	0	0	260	0	0	0	0	121	138	0	0	138	0	0	121	0	0	0	138	121	0	86	0	173	0	0	0	0	0	260	0	138	0	0	121	0	0	0	208	52	0	121	0	138	0	0	0	0	173	86	0	86	0	0	173	0	0	121	138	0	0	65	65	65	65	0
64	140	123	0	0	0	0	211	0	52	0	264	0	0	0	0	264	0	0	0	0	0	264	0	0	0	0	123	140	0	0	140	0	0	123	0	0	0	140	123	0	88	0	176	0	0	0	0	0	264	0	140	0	0	123	0	0	0	211	52	0	123	0	140	0	0	0	0	176	88	0	88	0	0	176	0	0	123	140	0	0	66	66	66	66	0
65	142	125	0	0	0	0	214	0	53	0	268	0	0	0	0	268	0	0	0	0	0	268	0	0	0	0	125	142	0	0	142	0	0	125	0	0	0	142	125	0	89	0	178	0	0	0	0	0	268	0	142	0	0	125	0	0	0	214	53	0	125	0	142	0	0	0	0	178	89	0	89	0	0	178	0	0	125	142	0	0	67	67	67	67	0
66	145	126	0	0	0	0	217	0	54	0	272	0	0	0	0	272	0	0	0	0	0	272	0	0	0	0	126	145	0	0	145	0	0	126	0	0	0	145	126	0	90	0	181	0	0	0	0	0	272	0	145	0	0	126	0	0	0	217	54	0	126	0	145	0	0	0	0	181	90	0	90	0	0	181	0	0	126	145	0	0	68	68	68	68	0
67	147	128	0	0	0	0	220	0	55	0	276	0	0	0	0	276	0	0	0	0	0	276	0	0	0	0	128	147	0	0	147	0	0	128	0	0	0	147	128	0	92	0	184	0	0	0	0	0	276	0	147	0	0	128	0	0	0	220	55	0	128	0	147	0	0	0	0	184	92	0	92	0	0	184	0	0	128	147	0	0	69	69	69	69	0
68	149	130	0	0	0	0	224	0	56	0	280	0	0	0	0	280	0	0	0	0	0	280	0	0	0	0	130	149	0	0	149	0	0	130	0	0	0	149	130	0	93	0	186	0	0	0	0	0	280	0	149	0	0	130	0	0	0	224	56	0	130	0	149	0	0	0	0	186	93	0	93	0	0	186	0	0	130	149	0	0	70	70	70	70	0
69	151	132	0	0	0	0	227	0	56	0	284	0	0	0	0	284	0	0	0	0	0	284	0	0	0	0	132	151	0	0	151	0	0	132	0	0	0	151	132	0	94	0	189	0	0	0	0	0	284	0	151	0	0	132	0	0	0	227	56	0	132	0	151	0	0	0	0	189	94	0	94	0	0	189	0	0	132	151	0	0	71	71	71	71	0
70	153	134	0	0	0	0	230	0	57	0	288	0	0	0	0	288	0	0	0	0	0	288	0	0	0	0	134	153	0	0	153	0	0	134	0	0	0	153	134	0	96	0	192	0	0	0	0	0	288	0	153	0	0	134	0	0	0	230	57	0	134	0	153	0	0	0	0	192	96	0	96	0	0	192	0	0	134	153	0	0	72	72	72	72	0
