INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
41	4	0	-1	0	1	2	3	4	5	4	3	2
42	4	1	1	0	1	2	3	4	5	4	3	2
43	4	1	30	0	1	2	3	4	5	4	3	2
44	4	2	60	0	1	2	3	4	5	4	3	2
45	4	3	90	0	1	2	3	4	5	4	3	2
46	4	4	120	0	1	2	3	4	5	4	3	2
47	4	5	150	0	1	2	3	4	5	4	3	2
48	4	6	180	0	1	2	3	4	5	4	3	2
49	4	8	210	0	1	2	3	4	5	4	3	2
50	4	8	212	0	1	2	3	4	5	4	3	2
#技能5												
51	5	0	-1	0	1	2	3	4	5	4	3	2
52	5	1	1	0	1	2	3	4	5	4	3	2
53	5	1	30	0	1	2	3	4	5	4	3	2
54	5	2	60	0	1	2	3	4	5	4	3	2
55	5	3	90	0	1	2	3	4	5	4	3	2
56	5	4	120	0	1	2	3	4	5	4	3	2
57	5	5	150	0	1	2	3	4	5	4	3	2
58	5	6	180	0	1	2	3	4	5	4	3	2
59	5	8	210	0	1	2	3	4	5	4	3	2
60	5	8	212	0	1	2	3	4	5	4	3	2
#技能6												
61	6	0	-1	0	1	2	3	4	5	4	3	2
62	6	1	1	0	1	2	3	4	5	4	3	2
63	6	1	30	0	1	2	3	4	5	4	3	2
64	6	2	60	0	1	2	3	4	5	4	3	2
65	6	3	90	0	1	2	3	4	5	4	3	2
66	6	4	120	0	1	2	3	4	5	4	3	2
67	6	5	150	0	1	2	3	4	5	4	3	2
68	6	6	180	0	1	2	3	4	5	4	3	2
69	6	8	210	0	1	2	3	4	5	4	3	2
70	6	8	212	0	1	2	3	4	5	4	3	2
#技能7												
71	7	0	-1	0	1	2	3	4	5	4	3	2
72	7	1	1	0	1	2	3	4	5	4	3	2
73	7	1	30	0	1	2	3	4	5	4	3	2
74	7	2	60	0	1	2	3	4	5	4	3	2
75	7	3	90	0	1	2	3	4	5	4	3	2
76	7	4	120	0	1	2	3	4	5	4	3	2
77	7	5	150	0	1	2	3	4	5	4	3	2
78	7	6	180	0	1	2	3	4	5	4	3	2
79	7	8	210	0	1	2	3	4	5	4	3	2
80	7	8	212	0	1	2	3	4	5	4	3	2
#技能8												
81	8	0	-1	0	1	2	3	4	5	4	3	2
82	8	1	1	0	1	2	3	4	5	4	3	2
83	8	1	30	0	1	2	3	4	5	4	3	2
84	8	2	60	0	1	2	3	4	5	4	3	2
85	8	3	90	0	1	2	3	4	5	4	3	2
86	8	4	120	0	1	2	3	4	5	4	3	2
87	8	5	150	0	1	2	3	4	5	4	3	2
88	8	6	180	0	1	2	3	4	5	4	3	2
89	8	8	210	0	1	2	3	4	5	4	3	2
90	8	8	212	0	1	2	3	4	5	4	3	2
#技能9												
91	9	0	-1	0	1	2	3	4	5	4	3	2
92	9	1	1	0	1	2	3	4	5	4	3	2
93	9	1	30	0	1	2	3	4	5	4	3	2
94	9	2	60	0	1	2	3	4	5	4	3	2
95	9	3	90	0	1	2	3	4	5	4	3	2
96	9	4	120	0	1	2	3	4	5	4	3	2
97	9	5	150	0	1	2	3	4	5	4	3	2
98	9	6	180	0	1	2	3	4	5	4	3	2
99	9	8	210	0	1	2	3	4	5	4	3	2
100	9	8	212	0	1	2	3	4	5	4	3	2
#技能1~4												
101	1~4	0	-1	0	1	2	3	4	5	4	3	2
102	1~4	1	1	0	1	2	3	4	5	4	3	2
103	1~4	1	30	0	1	2	3	4	5	4	3	2
104	1~4	2	60	0	1	2	3	4	5	4	3	2
105	1~4	3	90	0	1	2	3	4	5	4	3	2
106	1~4	4	120	0	1	2	3	4	5	4	3	2
107	1~4	5	150	0	1	2	3	4	5	4	3	2
108	1~4	6	180	0	1	2	3	4	5	4	3	2
109	1~4	8	210	0	1	2	3	4	5	4	3	2
110	1~4	8	212	0	1	2	3	4	5	4	3	2
#技能5~9												
111	5~9	0	-1	0	1	2	3	4	5	4	3	2
112	5~9	1	1	0	1	2	3	4	5	4	3	2
113	5~9	1	30	0	1	2	3	4	5	4	3	2
114	5~9	2	60	0	1	2	3	4	5	4	3	2
115	5~9	3	90	0	1	2	3	4	5	4	3	2
116	5~9	4	120	0	1	2	3	4	5	4	3	2	
117	5~9	5	150	0	1	2	3	4	5	4	3	2	
118	5~9	6	180	0	1	2	3	4	5	4	3	2	
119	5~9	8	210	0	1	2	3	4	5	4	3	2	
120	5~9	8	212	0	1	2	3	4	5	4	3	2	
#特殊需求													
#副本怪物													
200	1	1	1	200									大型瓷器
