INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
31	10	1	10016002|10026002|10036002|10046002|10056002|10066002	10	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
32	10	1	10201001	10	1	10231002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
33	5215123	1	10241001|10221002	10	1	10271002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
34	10	1	10280001|10210001	10	1	10251002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
35	10	1	10261002	10	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
36	10	1	10016002|10026002|10036002|10046002|10056002|10066002	10	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
37	1303780	1	10201002	1303780	1	10231001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
38	10	1	10241001|10221002	10	1	10271002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
39	10	1	10280001|10210001	10	1	10251002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
40	10	1	10261002	10	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
41	3911342	1	10010201|10020201|10030201|10040201|10050201|10060201	1564537	1	10070201|10080201|10090201|10100201|10110201|10120201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
42	3911342	1	10012201|10022201|10032201|10042201|10052201|10062201	1564537	1	10072201|10082201|10092201|10102201|10112201|10122201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
43	2086049	1	10200201|10202201	2086049	1	10230201|10232201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
44	2086049	1	10202301|10202401	2086049	1	10232301|10232401	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
45	6258148	1	10240201|10242201|10220201|10222201	1955671	1	10270201|10271001|10272201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
46	6258148	1	10242301|10242401|10222301|10222401	1303780	1	10272301|10272401	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
47	1564537	1	10280201|10210201	782268	1	10250201|10251001|10252201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
48	1564537	1	10282201|10212201	521512	1	10252301|10252401	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
49	521512	1	10260201|10261001	521512	1	10290201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
50	782268	1	10262201|10262301|10262401	521512	1	10292201	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
51	3259452	1	10016001|10026001|10036001|10046001|10056001|10066001	1303780	1	10072201|10082201|10092201|10102201|10112201|10122201	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
52	869187	1	10206001	869187	1	10236001	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
53	2607561	1	10246001|10226001	1086484	1	10276001|10276002	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
54	1303780	1	10282201|10212201	217296	1	10256001	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
55	434593	1	10266001|10266002	869187	1	10290201|10292201	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
56	2607561	1	10017001|10027001|10037001|10047001|10057001|10067001	1043024	1	10072201|10082201|10092201|10102201|10112201|10122201	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
57	695349	1	10207001	695349	1	10237001	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
58	2086049	1	10247001|10227001	434593	1	10277001	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
59	521512	1	10282201|10212201	173837	1	10257001	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
60	173837	1	10267001	10	1	10290201|10292201	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
61	10	1	10017001|10027001|10037001|10047001|10057001|10067001	10	1	10072201|10082201|10092201|10102201|10112201|10122201	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
62	579458	1	10206002	579458	1	10236002	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
63	1738374	1	10246002|10226002	10	1	10277001	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
64	1303780	1	10286001|10286002|10286003	144864	1	10256002	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
65	10	1	10267001	10	1	10290201|10292201	50000000	1	12010002	20000000	1	11960002	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
66	1955671	1	10010202|10030202|10030202|10040202|10050202|10060202	782268	1	10070202|10080202|10090202|10100202|10110202|10120202	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
67	1955671	1	10012202|10022202|10032202|10042202|10052202|10062202	782268	1	10072202|10082202|10092202|10102202|10112202|10122202	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
68	1043024	1	10200202|10202202	1043024	1	10230202|10232202	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
69	1043024	1	10202302|10202402	1043024	1	10232302|10232402	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
70	3129074	1	10240202|10242202|10220202|10222202	651890	1	10270202|10272202|10272302|10272402	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
71	3129074	1	10242302|10242402|10222302|10222402	651890	1	10270202|10272202|10272302|10272402	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
72	782268	1	10280202|10210202	260756	1	10250202|10252202	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
73	782268	1	10282202|10212202	260756	1	10252302|10252402	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
74	260756	1	10260202|10262202	260756	1	10290202	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
75	260756	1	10262302|10262402	260756	1	10292202	33333333	1	12010003	13333333	1	11960003	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
76	1303780	1	10010203|10020203|10030203|10040203|10050203|10060203	521512	1	10070203|10080203|10090203|10100203|10110203|10120203	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
77	1303780	1	10010203|10020203|10030203|10040203|10050203|10060203	521512	1	10072203|10082203|10092203|10102203|10112203|10122203	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
78	1303780	1	10010203|10020203|10030203|10040203|10050203|10060203	521512	1	10072303|10084001|10094001|10094001|10114001|10124001	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
79	1390699	1	10200203|10202203|10202303|10202403	1390699	1	10230203|10232203|10232303|10232403	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
80	1043024	1	10204001|10204011|10204021	1043024	1	10234001|10234011|10234021	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
81	1043024	1	10204031|10204041|10204051	1043024	1	10234031|10234041|10234051	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
82	4172099	1	10240203|10242203|10242303|10242403|10220203|10222203|10222303|10222403	869187	1	10270203|10272203|10272303|10272403	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
83	3129074	1	10244001|10244011|10244021|10224001|10224011|10224021	651890	1	10274001|10274011|10274021	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
84	3129074	1	10244031|10244041|10244051|10224031|10224041|10224051	651890	1	10274031|10274041|10274051	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
85	1303780	1	10280203|10282203|10210203|10212203|10214001	347674	1	10250203|10252203|10252303|10252403	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
86	1564537	1	10284001|10284011|10284021|10214011|10214021|10214031	260756	1	10254001|10254011|10254021	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
87	1303780	1	10284031|10284041|10284051|10214041|10214051	260756	1	10254031|10254041|10254051	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
88	347674	1	10260203|10262203|10262303|10262403	521512	1	10290203|10292203|10294001	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
89	260756	1	10264001|10264011|10264021	521512	1	10294011|10294021|10294031	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
90	260756	1	10264031|10264041|10264051	521512	1	10294041|10294051	25000000	1	12010004	10000000	1	11960004	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
91	977835	1	10070204|10080204|10090204|10100204|10110204|10120204	391134	1	10070204|10080204|10090204|10100204|10110204|10120204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
92	977835	1	10072204|10082204|10092204|10092204|10112204|10122204	391134	1	10072204|10082204|10092204|10092204|10112204|10122204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
93	521512	1	10200204|10202204	521512	1	10230204|10232204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
94	521512	1	10202304|10202404	521512	1	10242304|10242404	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
95	1564537	1	10240204|10242204|10220204|10222204	325945	1	10270204|10272204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
96	1564537	1	10242304|10242404|10222304|10222404	325945	1	10272304|10272404	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
97	391134	1	10280204|10210204	130378	1	10250204|10252204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
98	391134	1	10282204|10212204	130378	1	10252304|10252404	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
99	130378	1	10260204|10262204	130378	1	10290204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
100	130378	1	10262304|10262404	130378	1	10292204	20000000	1	12010005	8000000	1	11960005	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
101	782268	1	10070205|10080205|10090205|10100205|10110205|10120205	312907	1	10070205|10080205|10090205|10100205|10110205|10120205	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
102	782268	1	10072205|10082205|10092205|10102205|10112205|10122205	312907	1	10072205|10082205|10092205|10102205|10112205|10122205	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
103	782268	1	10072305|10083001|10093001|10103001|10113001|10123001	312907	1	10072305|10083001|10093001|10103001|10113001|10123001	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
104	834419	1	10200205|10202205|10202305|10202405	834419	1	10230205|10232205|10232305|10232405	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
105	625814	1	10203001|10203011|10203021	625814	1	10233001|10233011|10233021	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
106	625814	1	10203031|10203041|10203051	625814	1	10233031|10233041|10233051	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
107	2503259	1	10240205|10242205|10242305|10242405|10220205|10222205|10222305|10222405	521512	1	10270205|10272205|10272305|10272405	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
108	1877444	1	10243001|10243011|10243021|10223001|10223011|10223021	391134	1	10273001|10273011|10273021	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
109	1877444	1	10243031|10243041|10233051|10223031|10223041|10223051	391134	1	10273031|10273041|10273051	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
110	782268	1	10280205|10282205|10210205|10212205|10213001	208604	1	10250205|10252205|10252305|10252405	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
111	938722	1	10283001|10283011|10283021|10213011|10213021|10213031	156453	1	10253001|10253011|10253021	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
112	782268	1	10283031|10283041|10283051|10213041|10213051	156453	1	10253031|10253041|10253051	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
113	208604	1	10260205|10262205|10262305|10262405	312907	1	10290205|10292205|10293001	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
114	156453	1	10263001|10263011|10263021	312907	1	10293011|10293021|10293031	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
115	156453	1	10263031|10263041|10263051	312907	1	10293041|10293051	16666666	1	12010006	6666666	1	11960006	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
116	651890	1	10070206|10080206|10090206|10100206|10110206|10120206	260756	1	10070206|10080206|10090206|10100206|10110206|10120206	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
117	651890	1	10072206|10082206|10092206|10102206|10112206|10122206	260756	1	10072206|10082206|10092206|10102206|10112206|10122206	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
118	651890	1	10072306|10084002|10094002|10104002|10114002|10124002	260756	1	10072306|10084002|10094002|10104002|10114002|10124002	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
119	695349	1	10200206|10202206|10202306|10202406	695349	1	10230206|10232206|10232406|10232406	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
120	521512	1	10204002|10204012|10204022	521512	1	10234002|10244012|10234022	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
121	521512	1	10204032|10204042|10204052	521512	1	10234032|10234042|10234052	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
122	1303780	1	10240206|10242206|10242306|10242406|10220206|10222206|10222306|10222406	543242	1	10270206|10272206|10272306|10272406	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
123	1564537	1	10244002|10244012|10244022|10224002|10224012|10224022	651890	1	10274002|10274012|10274022	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
124	1564537	1	10244032|10234042|10244052|10224032|10224042|10224052	543242	1	10274032|10274042|10274052	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
125	651890	1	10280206|10282206|10210206|10212206|10214002	173837	1	10250206|10252206|10252306|10252406	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
126	782268	1	10284002|10284012|10284022|10214012|10214022|10214032	130378	1	10254002|10254012|10254022	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
127	651890	1	10284032|10284042|10284052|10214042|10214052	130378	1	10254032|10254042|10254052	14285714	1	12010007	5714285	1	11960007	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
