INT	STRING
207004	\quest\caizhouchengwai\quest_caizhouchengwai_liangxiangzhizhan.lua
207005	\quest\caizhouchengwai\quest_caizhouchengwai_zhitongxiangguo.lua
207006	\quest\caizhouchengwai\quest_caizhouchengwai_dazhanjinbing.lua
207007	\quest\caizhouchengwai\quest_caizhouchengwai_xijiyuanjun.lua
207008	\quest\caizhouchengwai\quest_caizhouchengwai_qingqiutucheng.lua
207009	\quest\caizhouchengwai\quest_caizhouchengwai_jinzhitucheng.lua
207010	\quest\caizhouchengwai\quest_caizhouchengwai_yazhituwei.lua
207011	\quest\caizhouchengwai\quest_caizhouchengwai_xilubingma.lua
#	;玉龙城
208000	\quest\yulongcheng\quest_yulongcheng_diyizhaoling.lua
208001	\quest\yulongcheng\quest_yulongcheng_kanxiazhanqi.lua
208002	\quest\yulongcheng\quest_yulongcheng_mengguzhanqi.lua
208003	\quest\yulongcheng\quest_yulongcheng_dahandegaoshi.lua
208004	\quest\yulongcheng\quest_yulongcheng_dahandemingling.lua
208005	\quest\yulongcheng\quest_yulongcheng_fengebaowei.lua
208006	\quest\yulongcheng\quest_yulongcheng_shasijiangjun.lua
208007	\quest\yulongcheng\quest_yulongcheng_dianranxinhao.lua
208008	\quest\yulongcheng\quest_yulongcheng_shasichinan.lua
208009	\quest\yulongcheng\quest_yulongcheng_huozhuotaihou.lua
208010	\quest\yulongcheng\quest_yulongcheng_shangutusha.lua
208011	\quest\yulongcheng\quest_yulongcheng_danggui.lua
208012	\quest\yulongcheng\quest_yulongcheng_guozhigenben.lua
208013	\quest\yulongcheng\quest_yulongcheng_moding.lua
#	;新月汗国
211000	\quest\xinyuehanguo\quest_xinyuehanguo_tongcreate.lua
211001	\quest\xinyuehanguo\quest_xinyuehanguo_doublemanage.lua
211002	\quest\xinyuehanguo\quest_xinyuehanguo_fazhankeji.lua
211003	\quest\xinyuehanguo\quest_xinyuehanguo_shuishou.lua
211004	\quest\xinyuehanguo\quest_xinyuehanguo_jianshegongcheng.lua
211005	\quest\xinyuehanguo\quest_xinyuehanguo_shoujiqingbao.lua
211006	\quest\xinyuehanguo\quest_xinyuehanguo_fadongguozhan.lua
211007	\quest\xinyuehanguo\quest_xinyuehanguo_choujijunliang.lua
211008	\quest\xinyuehanguo\quest_xinyuehanguo_biwu.lua
211009	\quest\xinyuehanguo\quest_xinyuehanguo_yunbiao1.lua
211010	\quest\xinyuehanguo\quest_xinyuehanguo_yunbiao2.lua
211011	\quest\xinyuehanguo\quest_xinyuehanguo_yunbiao3.lua
211012	\quest\xinyuehanguo\quest_xinyuehanguo_richangrenwu.lua
211013	\quest\xinyuehanguo\quest_xinyuehanguo_monsterparty.lua
211014	\quest\xinyuehanguo\quest_xinyuehanguo_huodong.lua
211015	\quest\xinyuehanguo\quest_xinyuehanguo_buchang.lua
211016	\quest\xinyuehanguo\quest_xinyuehanguo_tuiguang.lua
211017	\quest\xinyuehanguo\quest_xinyuehanguo_store.lua
211018	\quest\xinyuehanguo\quest_xinyuehanguo_zahuoshop.lua
211019	\quest\xinyuehanguo\quest_xinyuehanguo_wuqishop.lua
211020	\quest\xinyuehanguo\quest_xinyuehanguo_fangjushop.lua
211021	\quest\xinyuehanguo\quest_xinyuehanguo_shoushishop.lua
211022	\quest\xinyuehanguo\quest_xinyuehanguo_centerchuansong.lua
211023	\quest\xinyuehanguo\quest_xinyuehanguo_centerdoctor.lua
211024	\quest\xinyuehanguo\quest_xinyuehanguo_yaodianshop.lua
211025	\quest\xinyuehanguo\quest_xinyuehanguo_horseshop.lua
211026	\quest\xinyuehanguo\quest_xinyuehanguo_wuqilevelup.lua
211027	\quest\xinyuehanguo\quest_xinyuehanguo_horselevelup.lua
211028	\quest\xinyuehanguo\quest_xinyuehanguo_eastchuansong.lua
211029	\quest\xinyuehanguo\quest_xinyuehanguo_eastdoctor.lua
211030	\quest\xinyuehanguo\quest_xinyuehanguo_northchuansong.lua
211031	\quest\xinyuehanguo\quest_xinyuehanguo_northdoctor.lua
211032	\quest\xinyuehanguo\quest_xinyuehanguo_southchuansong.lua
211033	\quest\xinyuehanguo\quest_xinyuehanguo_southdoctor.lua
211034	\quest\xinyuehanguo\quest_xinyuehanguo_double.lua
211035	\quest\xinyuehanguo\quest_xinyuehanguo_tongjoin.lua
211036	\quest\xinyuehanguo\quest_xinyuehanguo_countryshop1.lua
211037	\quest\xinyuehanguo\quest_xinyuehanguo_countryshop2.lua
211038	\quest\xinyuehanguo\quest_xinyuehanguo_biwupk.lua
211039	\quest\xinyuehanguo\quest_xinyuehanguo_biwunew.lua
211040	\quest\xinyuehanguo\quest_xinyuehanguo_newchuansong.lua
211041	\quest\xinyuehanguo\quest_xinyuehanguo_newyaodianshop.lua
211042	\quest\xinyuehanguo\quest_xinyuehanguo_newdoctor.lua
211043	\quest\xinyuehanguo\quest_xinyuehanguo_tiejiangdefennu.lua
211044	\quest\xinyuehanguo\quest_xinyuehanguo_xiaobeidetongnian.lua
211045	\quest\xinyuehanguo\quest_xinyuehanguo_shouwufujizhili.lua
211046	\quest\xinyuehanguo\quest_xinyuehanguo_pengjideyishu.lua
211047	\quest\xinyuehanguo\quest_xinyuehanguo_luanshidexianmei.lua
211048	\quest\xinyuehanguo\quest_xinyuehanguo_yongshideqizhi.lua
211049	\quest\xinyuehanguo\quest_xinyuehanguo_zhongchengdehuoban.lua
211050	\quest\xinyuehanguo\quest_xinyuehanguo_congjun.lua
211051	\quest\xinyuehanguo\quest_xinyuehanguo_wushangbujian.lua
211052	\quest\xinyuehanguo\quest_xinyuehanguo_rongyuweishitouhuan.lua
211053	\quest\xinyuehanguo\quest_xinyuehanguo_rongyuweishihujian.lua
211054	\quest\xinyuehanguo\quest_xinyuehanguo_rongyuweishiyifu.lua
211055	\quest\xinyuehanguo\quest_xinyuehanguo_rongyuweishixie.lua
211056	\quest\xinyuehanguo\quest_xinyuehanguo_rongyuweishishoutao.lua
211057	\quest\xinyuehanguo\quest_xinyuehanguo_rongyuweishiwuqi.lua
211058	\quest\xinyuehanguo\quest_xinyuehanguo_jewshop1.lua
211059	\quest\xinyuehanguo\quest_xinyuehanguo_jewshop2.lua
211060	\quest\xinyuehanguo\quest_xinyuehanguo_jewshop3.lua
211061	\quest\xinyuehanguo\quest_xinyuehanguo_qichengshop1.lua
211062	\quest\xinyuehanguo\quest_xinyuehanguo_qichengshop2.lua
211063	\quest\xinyuehanguo\quest_xinyuehanguo_jewshop4.lua
211064	\quest\xinyuehanguo\quest_xinyuehanguo_newchuansong1.lua
#	;风陵渡
212000	\quest\fenglingdu\quest_fenglingdu_chanchuzhuli.lua
212001	\quest\fenglingdu\quest_fenglingdu_gaoliqiannianrenshen.lua
212002	\quest\fenglingdu\quest_fenglingdu_xixiadajiang.lua
212003	\quest\fenglingdu\quest_fenglingdu_dahanyiyan.lua
212004	\quest\fenglingdu\quest_fenglingdu_juedilingmu.lua
212005	\quest\fenglingdu\quest_fenglingdu_luoma.lua
212006	\quest\fenglingdu\quest_fenglingdu_jianmiexixiabubing.lua
212007	\quest\fenglingdu\quest_fenglingdu_jianmiexixiaqibing.lua
212008	\quest\fenglingdu\quest_fenglingdu_jianmieshenjiying.lua
212009	\quest\fenglingdu\quest_fenglingdu_dahandexiliyi.lua
212010	\quest\fenglingdu\quest_fenglingdu_dahandexilier.lua
212011	\quest\fenglingdu\quest_fenglingdu_dahandexilisan.lua
212012	\quest\fenglingdu\quest_fenglingdu_dahandexilisi.lua
#	;匈牙利
213000	\quest\xiongyali\quest_xiongyali_zhizaochouhen.lua
213001	\quest\xiongyali\quest_xiongyali_andingminxin.lua
213002	\quest\xiongyali\quest_xiongyali_lingyizhongpaodan.lua
213003	\quest\xiongyali\quest_xiongyali_shengdianqishi.lua
213004	\quest\xiongyali\quest_xiongyali_zhujiaowugulan.lua
213005	\quest\xiongyali\quest_xiongyali_maerjiteqiao.lua
213006	\quest\xiongyali\quest_xiongyali_yilishabaiqiao.lua
213007	\quest\xiongyali\quest_xiongyali_ziyouqiao.lua
213008	\quest\xiongyali\quest_xiongyali_guowangbeila.lua
213009	\quest\xiongyali\quest_xiongyali_zhujiaodeshou.lua
213010	\quest\xiongyali\quest_xiongyali_mabian.lua
213011	\quest\xiongyali\quest_xiongyali_zhanchangcike.lua
#	;阔亦田
214000	\quest\kuoyitian\quest_kuoyitian_zhanhuoliaoyuan.lua
214001	\quest\kuoyitian\quest_kuoyitian_youshidehuoban.lua
214002	\quest\kuoyitian\quest_kuoyitian_ernvqingchang.lua
214003	\quest\kuoyitian\quest_kuoyitian_weizhangfubaochou.lua
214004	\quest\kuoyitian\quest_kuoyitian_zhudifulu.lua
214005	\quest\kuoyitian\quest_kuoyitian_jiejiujiangshi.lua
214006	\quest\kuoyitian\quest_kuoyitian_chancaochugen.lua
214007	\quest\kuoyitian\quest_kuoyitian_jiasuodeyaoshi.lua
214008	\quest\kuoyitian\quest_kuoyitian_tongxingzheng.lua
214009	\quest\kuoyitian\quest_kuoyitian_shenjianhuoadai.lua
214010	\quest\kuoyitian\quest_kuoyitian_zhebie.lua
214011	\quest\kuoyitian\quest_kuoyitian_youfuqingdebandang.lua
#	;玉龙城
215000	\quest\gejining\quest_gejining_beipanmusilindehasha.lua
215001	\quest\gejining\quest_gejining_yuxi.lua
215002	\quest\gejining\quest_gejining_jueshibaojian.lua
215003	\quest\gejining\quest_gejining_miekou.lua
215004	\quest\gejining\quest_gejining_shengshui.lua
215005	\quest\gejining\quest_gejining_ganjingdequanshui.lua
215006	\quest\gejining\quest_gejining_zhuangshuidehulu.lua
215007	\quest\gejining\quest_gejining_jiuyuanhuduhu.lua
215008	\quest\gejining\quest_gejining_lanjieyilakepaoshou.lua
215009	\quest\gejining\quest_gejining_xiaomieyilakeqishi.lua
215010	\quest\gejining\quest_gejining_zhiliaodeyaowu.lua
215011	\quest\gejining\quest_gejining_xiaomieanshao.lua
215012	\quest\gejining\quest_gejining_zhuishapantu.lua
215013	\quest\gejining\quest_gejining_diyicibaizhang.lua
#	;乌月营
217000	\quest\wuyueying\quest_wuyueying_qingchunushou.lua
217001	\quest\wuyueying\quest_wuyueying_xiyujingruibing.lua
217002	\quest\wuyueying\quest_wuyueying_shibingdeerduo.lua
217003	\quest\wuyueying\quest_wuyueying_hongsedeshoujuan.lua
217004	\quest\wuyueying\quest_wuyueying_paodan.lua
217005	\quest\wuyueying\quest_wuyueying_miedingdebaoying.lua
217006	\quest\wuyueying\quest_wuyueying_huoshaolianying.lua
217007	\quest\wuyueying\quest_wuyueying_cuihuitoushiji.lua
217008	\quest\wuyueying\quest_wuyueying_guobaoyujiangjun.lua
217009	\quest\wuyueying\quest_wuyueying_husongguobaoyu.lua
217010	\quest\wuyueying\quest_wuyueying_jieshanuren.lua
217011	\quest\wuyueying\quest_wuyueying_yinutucheng.lua
217012	\quest\wuyueying\quest_wuyueying_qianjianugongjianshou.lua
217013	\quest\wuyueying\quest_wuyueying_wuyueyingqibing.lua
#	;伏尔加河
223000	\quest\fuerjiahe\quest_fuerjiahe_shangubaoweizhan.lua
223001	\quest\fuerjiahe\quest_fuerjiahe_maifangzhayao.lua
223002	\quest\fuerjiahe\quest_fuerjiahe_jiaomiehuweijun.lua
223003	\quest\fuerjiahe\quest_fuerjiahe_kunshouyoudou.lua
223004	\quest\fuerjiahe\quest_fuerjiahe_chuanbokongju.lua
223005	\quest\fuerjiahe\quest_fuerjiahe_fuerjiahe.lua
223006	\quest\fuerjiahe\quest_fuerjiahe_xiaomiechuanfu.lua
223007	\quest\fuerjiahe\quest_fuerjiahe_zhizaohunluan.lua
223008	\quest\fuerjiahe\quest_fuerjiahe_qinzeiqinwang.lua
223009	\quest\fuerjiahe\quest_fuerjiahe_jinggao.lua
223010	\quest\fuerjiahe\quest_fuerjiahe_gengduoweisheli.lua
223011	\quest\fuerjiahe\quest_fuerjiahe_jiaomie.lua
223012	\quest\fuerjiahe\quest_fuerjiahe_xunzhaobieerge.lua
223013	\quest\fuerjiahe\quest_fuerjiahe_shoushangdebieerge.lua
#	;基辅
225000	\quest\jifu\quest_jifu_zhurenweile.lua
225001	\quest\jifu\quest_jifu_xunzhaozhujiao.lua
225002	\quest\jifu\quest_jifu_zhujiaodexiangzi.lua
225003	\quest\jifu\quest_jifu_demiteerdeyuanwang.lua
225004	\quest\jifu\quest_jifu_gongguoweidui.lua
225005	\quest\jifu\quest_jifu_guizudebaofu.lua
225006	\quest\jifu\quest_jifu_qingnianbukefu.lua
225007	\quest\jifu\quest_jifu_toushiji.lua
225008	\quest\jifu\quest_jifu_tusha.lua
225009	\quest\jifu\quest_jifu_souxunzhanlipin.lua
225010	\quest\jifu\quest_jifu_suolunfu.lua
225011	\quest\jifu\quest_jifu_bufuzedemushi.lua
#	;波兰
226000	\quest\bolan\quest_bolan_mihuodijun.lua
226001	\quest\bolan\quest_bolan_gedebaokuanggong.lua
226002	\quest\bolan\quest_bolan_shizijun.lua
226003	\quest\bolan\quest_bolan_bubingtouling.lua
226004	\quest\bolan\quest_bolan_wumaqishi.lua
226005	\quest\bolan\quest_bolan_henglidagong.lua
226006	\quest\bolan\quest_bolan_baojie.lua
226007	\quest\bolan\quest_bolan_tiaodunqishituan.lua
226008	\quest\bolan\quest_bolan_lingyizhongcailiao.lua
226009	\quest\bolan\quest_bolan_dashoulingaoshiteen.lua
226010	\quest\bolan\quest_bolan_jianjuderenwu.lua
226011	\quest\bolan\quest_bolan_tanlandewushi.lua
#	;玩法脚本
300100	\common\zhengshui\common_zhengshui.lua          
300200	\common\tierensanxiang\common_tierensanxiang.lua
300300	\common\kanwangNPC\common_kanwangNPC_1.lua      
300301	\common\kanwangNPC\common_kanwangNPC_2.lua      
300303	\common\guojiarenwu\common_guojiarenwu.lua
300304	\quest\huangcheng\huangcheng_shouweiliangcang.lua
300305	\quest\huangcheng\huangcheng_shoujiqiangliang.lua
300306	\common\country\common_country_addguildpoint.lua
300307	\common\country\common_country_createking1.lua
300308	\common\country\common_country_createking2.lua
300309	\common\country\common_country_createking3.lua
300310	\common\paozao\paozao_xiwuchang.lua
300314	\common\paozao\paozao_gumu.lua
300337	\common\shop\common_shipinmaimai.lua
300344	\common\shop\common_shop_cailiaomaimai.lua
300339	\common\shop\common_shop_duocaibaoshimaimai.lua
300345	\common\shop\common_shop_feimajiangbaoshi.lua
300340	\common\shop\common_shop_hongbaoshimaimai.lua
300342	\common\shop\common_shop_huangbaoshimaimai.lua
300325	\common\shop\common_shop_huoqiangshouwuqi.lua
300332	\common\shop\common_shop_huwanmaimai.lua
300330	\common\shop\common_shop_jianjiamaimai.lua
300323	\common\shop\common_shop_jianxiawuqi.lua
300336	\common\shop\common_shop_jiezhimaimai.lua
300343	\common\shop\common_shop_lanbaoshimaimai.lua
300341	\common\shop\common_shop_lvbaoshimaimai.lua
300346	\common\shop\common_shop_majiangbaoshi.lua
300328	\common\shop\common_shop_maozimaimai.lua
300324	\common\shop\common_shop_qishewuqi.lua
300327	\common\shop\common_shop_samanwuqi.lua
300333	\common\shop\common_shop_shoutaomaimai.lua
300322	\common\shop\common_shop_wushiwuqi.lua
300329	\common\shop\common_shop_xianglianmaimai.lua
300326	\common\shop\common_shop_xianzhiwuqi.lua
300335	\common\shop\common_shop_xiezimaimai.lua
300334	\common\shop\common_shop_yaodaimaimai.lua
300338	\common\shop\common_shop_yaopindanyao.lua
300331	\common\shop\common_shop_yifumaimai.lua
300313	\common\shop\common_shop_zuoqijineng.lua
300312	\common\shop\common_shop_zuoqijinengtuozhan.lua
300311	\common\shop\common_shop_zuoqishuxing.lua
300411	\common\doctor\common_doctor_normal.lua
300412	\common\chuansong\dadu\common_chuansong_dadu_gulou.lua
300413	\common\chuansong\dadu\common_chuansong_dadu_dongsi.lua
300414	\common\chuansong\dadu\common_chuansong_dadu_yindianqiao.lua
300415	\common\chuansong\dadu\common_chuansong_dadu_xisi.lua
300416	\common\chuansong\dadu\common_chuansong_dadu_liulichang.lua
300417	\common\chuansong\dadu\common_chuansong_dadu_wangjingshan.lua
300418	\common\chuansong\dadu\common_chuansong_dadu_gaobeidian.lua
300419	\common\chuansong\dadu\common_chuansong_dadu_zhengyangmen.lua
300420	\common\chuansong\dadu\common_chuansong_dadu_dadutongwangbianjing.lua
300421	\common\chuansong\dadu\common_chuansong_dadu_shuweiying.lua
300422	\common\chuansong\dadu\common_chuansong_dadu_dadusuluding.lua
300423	\common\chuansong\wangcheng\common_chuansong_wangcheng_huiwuchang.lua
300424	\common\chuansong\wangcheng\common_chuansong_wangcheng_wangchengnanmen.lua
300425	\common\chuansong\wangcheng\common_chuansong_wangcheng_wangchengbeimen.lua
300426	\common\chuansong\wangcheng\common_chuansong_wangcheng_wangchengzhongxinguangchang.lua
300427	\common\chuansong\wangcheng\common_chuansong_wangcheng_wangchengtiantan.lua
300428	\common\chuansong\wangcheng\common_chuansong_wangcheng_sugelanchang.lua
300429	\common\chuansong\wangcheng\common_chuansong_wangcheng_boximiya.lua
300430	\common\chuansong\wangcheng\common_chuansong_wangcheng_bolandengbao.lua
300431	\common\chuansong\wangcheng\common_chuansong_wangcheng_shengnvfeng.lua
300432	\common\chuansong\wangcheng\common_chuansong_wangcheng_wangchengtongwangbianjing.lua
300433	\common\chuansong\wangcheng\common_chuansong_wangcheng_wangchengsuluding.lua
300434	\common\chuansong\bianjing\common_chuansong_bianjing_boxianzhen.lua
300435	\common\chuansong\bianjing\common_chuansong_bianjing_nahelinkou.lua
300436	\common\chuansong\bianjing\common_chuansong_bianjing_bianjingtongwangwangcheng.lua
300437	\common\chuansong\bianjing\common_chuansong_bianjing_ziluozhang.lua
300438	\common\chuansong\bianjing\common_chuansong_bianjing_shijianzhong.lua
300439	\common\chuansong\bianjing\common_chuansong_bianjing_yueyahe.lua
300440	\common\chuansong\bianjing\common_chuansong_bianjing_anningcun.lua
300441	\common\chuansong\bianjing\common_chuansong_bianjing_jiudingshan.lua
300442	\common\chuansong\bianjing\common_chuansong_bianjing_dengyunlu.lua
300443	\common\chuansong\bianjing\common_chuansong_bianjing_xunmishifo.lua
300444	\common\chuansong\bianjing\common_chuansong_bianjing_tianshuipu.lua
300445	\common\chuansong\bianjing\common_chuansong_bianjing_lianchengzhai.lua
300446	\common\chuansong\bianjing\common_chuansong_bianjing_saerwaduohuoshan.lua
300447	\common\chuansong\bianjing\common_chuansong_bianjing_bianjingtongwangdadu.lua
300448	\common\chuansong\bianjing\common_chuansong_bianjing_zhuisitai.lua
300449	\common\chuansong\bianjing\common_chuansong_bianjing_zuihuataolin.lua
300450	\common\chuansong\bianjing\common_chuansong_bianjing_xiaohelianchi.lua
300451	\common\chuansong\bianjing\common_chuansong_bianjing_lianyinfeipu.lua
300452	\common\chuansong\bianjing\common_chuansong_bianjing_luofenglin.lua
300453	\common\chuansong\bianjing\common_chuansong_bianjing_jingshuyuan.lua
300454	\common\chuansong\bianjing\common_chuansong_bianjing_bianjingsuluding.lua
300455	\common\chuansong\trap\common_trap_dadu.lua
300456	\common\chuansong\trap\common_trap_wangcheng.lua
300457	\common\chuansong\trap\common_trap_bianjing_dadu.lua
300458	\common\chuansong\trap\common_trap_bianjing_wangcheng.lua
300459	\common\chuansong\trap\common_trap_yangliucun.lua
300460	\common\chuansong\trap\common_trap_xinshoucun02.lua
300461	\common\chuansong\trap\common_trap_taohuadao.lua
#	;生长点脚本
301000	\growpoint\yulongcheng\growpoint_yulongcheng_0.lua
301001	\growpoint\yulongcheng\growpoint_yulongcheng_1.lua
301002	\growpoint\abidao\growpoint_abidao_0.lua
301003	\growpoint\abidao\growpoint_abidao_1.lua
301004	\growpoint\kuoyitian\growpoint_kuoyitian_0.lua
301005	\growpoint\xiongyali\growpoint_xiongyali_0.lua
301006	\growpoint\xiongyali\growpoint_xiongyali_1.lua
301007	\growpoint\xiongyali\growpoint_xiongyali_2.lua
301008	\growpoint\juyongguan\growpoint_juyongguan_0.lua
301009	\growpoint\juyongguan\growpoint_juyongguan_1.lua
301010	\growpoint\juyongguan\growpoint_juyongguan_2.lua
301011	\growpoint\caizhouchengwai\growpoint_caizhouchengwai_0.lua
301012	\growpoint\jifu\growpoint_jifu_0.lua
301013	\growpoint\jifu\growpoint_jifu_1.lua
301014	\growpoint\wuyueying\growpoint_wuyueying_0.lua
301015	\growpoint\wuyueying\growpoint_wuyueying_1.lua
301016	\growpoint\bolan\growpoint_bolan_0.lua
301017	\growpoint\xinyuehanguo\growpoint_xinyuehanguo_0.lua
301018	\growpoint\fuben\growpoint_fututaerceng_0.lua
301019	\growpoint\fuben\growpoint_fututasiceng_0.lua
301020	\growpoint\fuben\growpoint_fututawuceng_0.lua
301021	\growpoint\yangliucun\growpoint_yangliucun_0.lua
301022	\growpoint\yangliucun\growpoint_yangliucun_1.lua
301023	\growpoint\yangliucun\growpoint_yangliucun_2.lua
#	;物品使用脚
#	;主线剧情任
400000	\item\quest\item_quest_400000.lua
400001	\item\quest\item_quest_400001.lua
400002	\item\quest\item_quest_400002.lua
400003	\item\quest\item_quest_400003.lua
400004	\item\quest\item_quest_400004.lua
400005	\item\quest\item_quest_400005.lua
400006	\item\quest\item_quest_400006.lua
400007	\item\quest\item_quest_400007.lua
#	;普通物品
403001	\item\normal\item_normal_3001.lua
403002	\item\normal\item_normal_3002.lua
403003	\item\normal\item_normal_3003.lua
403004	\item\normal\item_normal_3004.lua 
403005	\item\normal\item_normal_3005.lua 
403006	\item\normal\item_normal_3006.lua 
403007	\item\normal\item_normal_3007.lua
403008	\item\normal\item_normal_3008.lua
403009	\item\normal\item_normal_3009.lua
403010	\item\normal\item_normal_3010.lua
403101	\item\normal\item_normal_3101.lua
403102	\item\normal\item_normal_3102.lua
403103	\item\normal\item_normal_3103.lua
403104	\item\normal\item_normal_3104.lua
403105	\item\normal\item_normal_3105.lua
403106	\item\normal\item_normal_3106.lua
403107	\item\normal\item_normal_3107.lua
403108	\item\normal\item_normal_3108.lua
403109	\item\normal\item_normal_3109.lua
403110	\item\normal\item_normal_3110.lua
404801	\item\normal\item_normal_4801.lua
404823	\item\normal\item_normal_4823.lua
404824	\item\normal\item_normal_4824.lua
404825	\item\normal\item_normal_4825.lua
